GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,55,0.0,0,27,1,21,1,0.037037037037037035,0.047619047619047616,0.11071185782266679,93.3147068339645,116.90291997879112,93.3147068339645,93.3147068339645,93.3147068339645,50.77182070575939,50.77182070575939,50.77182070575939,93.3147068339645,53.85164807134504,53.85164807134504,53.85164807134504,53.85164807134504
g2,182,0.0,0,90,2,69,3,0.022222222222222223,0.043478260869565216,0.11071185782266679,75.43099667970407,129.56553927745958,75.43099667970407,75.43099667970407,75.43099667970407,53.85164807134504,53.85164807134504,53.85164807134504,75.43099667970407,56.96002496878354,56.96002496878354,56.96002496878354,56.96002496878354
g3,190,0.0,0,94,2,72,3,0.02127659574468085,0.041666666666666664,0.11071185782266679,72.3127797323432,126.44732233009871,72.3127797323432,72.3127797323432,72.3127797323432,56.96002496878354,56.96002496878354,56.96002496878354,72.3127797323432,60.09252125773316,60.09252125773316,60.09252125773316,60.09252125773316
g4,195,0.0,0,96,2,74,3,0.020833333333333332,0.04054054054054054,0.1107118578226668,70.73294264648409,124.8674852442396,70.73294264648409,70.73294264648409,70.73294264648409,60.09252125773316,60.09252125773316,60.09252125773316,70.73294264648409,63.245553203367585,63.245553203367585,63.245553203367585,63.245553203367585
g5,58,0.0,0,28,1,22,1,0.03571428571428571,0.045454545454545456,0.11071185782266679,67.69679200287675,121.83133460063226,67.69679200287675,67.69679200287675,67.69679200287675,63.245553203367585,63.245553203367585,63.245553203367585,67.69679200287675,66.41619615057091,66.41619615057091,66.41619615057091,66.41619615057091
g6,6,0.0,0,3,0,2,0,0.0,0.0,0.11085431941345235,115.84524896906817,141.69552186108953,115.84524896906817,115.84524896906817,115.84524896906817,17.950549357115015,17.950549357115015,17.950549357115015,115.84524896906817,19.436506316151,19.436506316151,19.436506316151,19.436506316151
g7,78,0.0,0,34,1,23,1,0.029411764705882353,0.043478260869565216,0.11085431941345235,114.05706251411523,139.90733540613658,114.05706251411523,114.05706251411523,114.05706251411523,19.436506316151,19.436506316151,19.436506316151,114.05706251411523,21.343747458109494,21.343747458109494,21.343747458109494,21.343747458109494
g8,52,0.0,0,23,1,15,1,0.043478260869565216,0.06666666666666667,0.11085431941345235,113.74475137539258,139.59502426741392,113.74475137539258,113.52924243950935,113.52924243950935,21.343747458109494,21.343747458109494,21.343747458109494,113.74475137539258,23.570226039551585,23.570226039551585,23.570226039551585,23.570226039551585
g9,1,0.0,0,0,0,0,0,0.0,0.0,0.09035694766751504,102.68055224005863,120.94554172624643,102.68055224005863,102.68055224005863,102.68055224005863,26.034165586355513,26.034165586355513,26.034165586355513,102.68055224005863,28.674417556808756,28.674417556808756,28.674417556808756,28.674417556808756
g10,64,0.0,0,31,1,24,1,0.03225806451612903,0.041666666666666664,0.11071185782266679,77.93224431828041,122.69375868763946,77.93224431828041,77.93224431828041,77.93224431828041,49.55356249106169,49.55356249106169,49.55356249106169,77.93224431828041,52.704627669472984,52.704627669472984,52.704627669472984,52.704627669472984
g11,198,0.0,0,97,2,75,3,0.020618556701030927,0.04,0.11071185782266679,73.38307451318266,127.51761711093818,73.38307451318266,73.38307451318266,73.38307451318266,52.704627669472984,52.704627669472984,52.704627669472984,73.38307451318266,55.87684871413403,55.87684871413403,55.87684871413403,55.87684871413403
g12,198,0.0,0,97,2,75,3,0.020618556701030927,0.04,0.11071185782266679,72.93760420101279,127.0721467987683,72.93760420101279,72.93760420101279,72.93760420101279,55.87684871413403,55.87684871413403,55.87684871413403,72.93760420101279,59.06681715556451,59.06681715556451,59.06681715556451,59.06681715556451
g13,198,0.0,0,97,2,75,3,0.020618556701030927,0.04,0.11071185782266679,65.60506279159263,119.73960538934814,65.60506279159263,65.60506279159263,65.60506279159263,59.06681715556451,59.06681715556451,59.06681715556451,65.60506279159263,62.271805640898016,62.271805640898016,62.271805640898016,62.271805640898016
g14,62,0.0,0,30,1,24,1,0.03333333333333333,0.041666666666666664,0.11071185782266679,67.69679200287675,121.83133460063226,67.69679200287675,67.69679200287675,67.69679200287675,62.271805640898016,62.271805640898016,62.271805640898016,67.69679200287675,65.48960901462833,65.48960901462833,65.48960901462833,65.48960901462833
g15,88,0.0,0,39,1,26,1,0.02564102564102564,0.038461538461538464,0.11085431941345235,119.22501334146916,128.8572395714163,119.22501334146916,119.22501334146916,119.22501334146916,16.666666666666668,16.666666666666668,16.666666666666668,119.22501334146916,14.9071198499986,14.9071198499986,14.9071198499986,14.9071198499986
