GEOID,POPULATION,coverage_pct,pop_with_access
30349,75647,0.0,0
30337,13309,0.0,0
30344,32155,0.0,0
30311,35523,0.0011064461064299155,39
30331,65996,8.501134639340428e-06,1
30310,28597,0.039013542778017316,1116
30336,876,0.0,0
30314,25752,0.04039948364140335,1040
30318,57136,0.09947532492266341,5684
30126,42794,0.0,0
30354,16660,0.02113961848656301,352
30315,36296,0.09820807205283762,3565
30312,23921,0.18149693258461078,4342
30334,0,0.9999999999999998,0
30303,6840,0.8275207215489353,5660
30313,11761,0.4937912417910222,5807
30308,20438,0.5662548661138433,11573
30332,3162,0.7422592440988135,2347
30306,24915,0.20775063620256892,5176
30363,4737,0.8520581184982831,4036
30288,10181,0.0,0
30316,33832,0.13563086993281234,4589
30032,47267,1.0511345605639293e-05,0
30317,13959,0.034772632147508906,485
30030,31856,0.1927121687012392,6139
30307,20337,0.071355936899784,1451
30322,2308,0.6994304565899356,1614
30033,32782,0.19070628407039572,6252
30329,26980,0.7955952152871086,21465
30319,45135,0.22051752822412735,9953
30309,25852,0.26928727839649436,6962
30324,28654,0.42097230847544237,12063
30305,25139,0.347159544265569,8727
30326,6643,0.859546447606203,5710
30342,31828,0.19237305511418484,6123
30346,5008,1.0,5008
30328,38685,0.14312460291082102,5537
30075,55945,0.05042347783000651,2821
30082,26442,0.0,0
30327,23059,0.05677928452046783,1309
30080,58806,0.0,0
30339,25318,0.005776658736299282,146
30067,46482,0.0,0
30068,32798,0.0,0
30062,63906,0.0,0
30188,63869,0.0,0
30360,16099,0.0,0
30338,35680,0.18197474282462034,6493
30092,37025,0.0,0
30350,38785,0.0176880428268508,686
30076,46739,0.05191815856590333,2427
30022,69135,0.04664595157087361,3225
30009,18625,0.0,0
30004,66538,0.5654040706705711,37621
