GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,837,1.0,837,429,14,296,0,0.03263403263403263,0.0,0.2060695683848236,5.5036108435373645,3.1043008871850324,3.1043008871850324,5.5036108435373645,5.5036108435373645,5.5036108435373645,5.5036108435373645,5.5036108435373645,3.1043008871850324,3.1043008871850324,3.1043008871850324,3.1043008871850324,3.1043008871850324
g2,3064,1.0,3064,1569,52,1082,0,0.0331421287444232,0.0,0.2029347650262215,2.5230662287935717,4.088495009981446,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717,2.5230662287935717
g3,179,1.0,179,112,6,79,0,0.05357142857142857,0.0,0.21590011063695275,5.502013861271671,4.254038311163689,4.254038311163689,5.502013861271671,5.502013861271671,5.502013861271671,5.502013861271671,5.502013861271671,4.254038311163689,4.254038311163689,4.254038311163689,4.254038311163689,4.254038311163689
g4,138,1.0,138,80,4,63,1,0.05,0.015873015873015872,0.20181030151340396,9.560211298863367,3.279999440820913,3.279999440820913,9.560211298863367,9.560211298863367,9.560211298863367,9.560211298863367,9.560211298863367,3.279999440820913,3.279999440820913,3.279999440820913,3.279999440820913,3.279999440820913
g5,118,0.9868395826365891,116,67,4,54,1,0.05970149253731343,0.018518518518518517,0.19728132387706857,10.641553581189479,2.0067981591620168,2.0067981591620168,10.641553581189479,10.641553581189479,10.641553581189479,10.641553581189479,10.641553581189479,2.0067981591620168,2.0067981591620168,2.0067981591620168,2.0067981591620168,2.0067981591620168
g6,441,0.5237607689111305,231,229,8,162,0,0.034934497816593885,0.0,0.19647083907909046,14.123077508150779,1.5573246983698987,1.5573246983698987,14.123077508150779,14.123077508150779,14.123077508150779,14.123077508150779,14.123077508150779,1.5573246983698987,1.5573246983698987,1.5573246983698987,1.5573246983698987,1.5573246983698987
g7,67,1.0,67,42,2,30,0,0.047619047619047616,0.0,0.21590011063695275,4.752099872474391,8.79558970247271,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391,4.752099872474391
g8,186,1.0,186,117,6,83,0,0.05128205128205128,0.0,0.21590011063695275,10.98280589318864,8.992033556673992,8.992033556673992,10.98280589318864,10.98280589318864,10.98280589318864,10.98280589318864,10.98280589318864,8.992033556673992,8.992033556673992,8.992033556673992,8.992033556673992,8.992033556673992
g9,180,1.0,180,112,6,80,0,0.05357142857142857,0.0,0.21326030219323175,13.458244724043633,7.238504725157526,7.238504725157526,13.458244724043633,13.458244724043633,13.458244724043633,13.458244724043633,13.458244724043633,7.238504725157526,7.238504725157526,7.238504725157526,7.238504725157526,7.238504725157526
g10,146,0.9418129364698811,138,83,5,67,1,0.060240963855421686,0.014925373134328358,0.19806474304333618,12.300549641572797,6.020337783530342,6.020337783530342,12.300549641572797,12.300549641572797,12.300549641572797,12.300549641572797,12.300549641572797,6.020337783530342,6.020337783530342,6.020337783530342,6.020337783530342,6.020337783530342
g11,144,0.29941297589164767,43,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,18.58326258885776,5.972277559255975,5.972277559255975,18.58326258885776,18.58326258885776,18.58326258885776,18.58326258885776,18.58326258885776,5.972277559255975,5.972277559255975,5.972277559255975,5.972277559255975,5.972277559255975
g12,572,0.0,0,296,11,209,0,0.037162162162162164,0.0,0.19637223612669455,17.10210105583998,4.491116026238194,4.491116026238194,17.10210105583998,17.10210105583998,17.10210105583998,17.10210105583998,17.10210105583998,4.491116026238194,4.491116026238194,4.491116026238194,4.491116026238194,4.491116026238194
g13,79,1.0,79,50,3,35,0,0.06,0.0,0.21590011063695275,7.643461222321571,9.237377672353203,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571,7.643461222321571
g14,186,1.0,186,117,6,83,0,0.05128205128205128,0.0,0.21590011063695275,10.973818566459272,11.052801969090037,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272,10.973818566459272
g15,159,0.7517704965470553,120,94,5,72,1,0.05319148936170213,0.013888888888888888,0.20396573120414907,13.904413056796736,7.8388876419060445,7.8388876419060445,13.904413056796736,13.904413056796736,13.904413056796736,13.904413056796736,13.904413056796736,7.8388876419060445,7.8388876419060445,7.8388876419060445,7.8388876419060445,7.8388876419060445
g16,144,0.06071493961188145,9,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,18.062619561243658,11.782407703201203,11.782407703201203,18.062619561243658,18.062619561243658,18.062619561243658,18.062619561243658,18.062619561243658,11.782407703201203,11.782407703201203,11.782407703201203,11.782407703201203,11.782407703201203
g17,144,0.0,0,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,18.871792996845805,9.745842500553989,9.745842500553989,18.871792996845805,18.871792996845805,18.871792996845805,18.871792996845805,18.871792996845805,9.745842500553989,9.745842500553989,9.745842500553989,9.745842500553989,9.745842500553989
g18,545,0.0,0,282,10,198,0,0.03546099290780142,0.0,0.1962684317751812,21.486577096846528,8.92082428706565,8.92082428706565,21.486577096846528,21.486577096846528,21.486577096846528,21.486577096846528,21.486577096846528,8.92082428706565,8.92082428706565,8.92082428706565,8.92082428706565,8.92082428706565
g19,103,1.0,103,64,3,45,0,0.046875,0.0,0.21585738001477248,6.626429316131731,9.976537802769558,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731,6.626429316131731
g20,186,1.0,186,117,6,83,0,0.05128205128205128,0.0,0.21590011063695275,9.909659303516829,13.259767790154655,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829,9.909659303516829
g21,182,0.8903831153954538,162,113,6,81,0,0.05309734513274336,0.0,0.21389463579394685,13.040974780701411,14.155588724777793,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411,13.040974780701411
g22,144,0.032371874567454856,5,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,16.947049486241202,14.570811054726084,14.570811054726084,16.947049486241202,16.947049486241202,16.947049486241202,16.947049486241202,16.947049486241202,14.570811054726084,14.570811054726084,14.570811054726084,14.570811054726084,14.570811054726084
g23,144,0.0,0,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,23.25041823315159,13.643288164633883,13.643288164633883,23.25041823315159,23.25041823315159,23.25041823315159,23.25041823315159,23.25041823315159,13.643288164633883,13.643288164633883,13.643288164633883,13.643288164633883,13.643288164633883
g24,322,0.0,0,167,6,119,0,0.03592814371257485,0.0,0.19660681741345423,23.408794584002937,11.434823337431308,11.434823337431308,23.408794584002937,23.408794584002937,23.408794584002937,23.408794584002937,23.408794584002937,11.434823337431308,11.434823337431308,11.434823337431308,11.434823337431308,11.434823337431308
g25,0,1.0,0,0,0,0,0,0.0,0.0,0.10853499492827126,7.899721963401477,9.484729743504156,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477,7.899721963401477
g26,54,1.0,54,29,1,23,1,0.034482758620689655,0.043478260869565216,0.10853499492827126,12.439884641813403,7.824608894381937,7.824608894381937,12.439884641813403,12.439884641813403,12.439884641813403,12.439884641813403,12.439884641813403,7.824608894381937,7.824608894381937,7.824608894381937,7.824608894381937,7.824608894381937
g27,1318,0.9999999999999999,1318,723,12,516,10,0.016597510373443983,0.01937984496124031,0.10994041393105425,12.834957827466148,7.016976541218246,7.016976541218246,12.834957827466148,12.834957827466148,12.834957827466148,12.834957827466148,12.834957827466148,7.016976541218246,7.016976541218246,7.016976541218246,7.016976541218246,7.016976541218246
g28,152,1.0,152,92,4,65,1,0.043478260869565216,0.015384615384615385,0.21574619350675317,4.159021316755201,7.509129803393027,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201,4.159021316755201
g29,186,1.0,186,117,6,83,0,0.05128205128205128,0.0,0.21590011063695275,6.382639075667844,9.73274756230567,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844,6.382639075667844
g30,181,1.0,181,112,6,81,0,0.05357142857142857,0.0,0.21368083562931475,11.419119833094129,13.950711769294747,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129,11.419119833094129
g31,147,0.440748192217201,65,84,5,67,1,0.05952380952380952,0.014925373134328358,0.19851370731052387,13.7629264607577,12.13998538432511,12.13998538432511,13.7629264607577,13.7629264607577,13.7629264607577,13.7629264607577,13.7629264607577,12.13998538432511,12.13998538432511,12.13998538432511,12.13998538432511,12.13998538432511
g32,144,0.0,0,81,4,66,1,0.04938271604938271,0.015151515151515152,0.19728132387706857,18.925670056209487,15.08384781356834,15.08384781356834,18.925670056209487,18.925670056209487,18.925670056209487,18.925670056209487,18.925670056209487,15.08384781356834,15.08384781356834,15.08384781356834,15.08384781356834,15.08384781356834
g33,84,0.0,0,45,2,34,0,0.044444444444444446,0.0,0.19714726284686104,25.284248742482774,15.165763666897906,15.165763666897906,25.284248742482774,25.284248742482774,25.284248742482774,25.284248742482774,25.284248742482774,15.165763666897906,15.165763666897906,15.165763666897906,15.165763666897906,15.165763666897906
g34,13,1.0,13,7,0,5,0,0.0,0.0,0.10877344058910682,4.715021085932402,5.75886232630793,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402,4.715021085932402
g35,61,1.0,61,32,1,26,1,0.03125,0.038461538461538464,0.10853499492827126,0.0,5.376046585036436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g36,2042,1.0,2042,1121,19,799,15,0.01694915254237288,0.01877346683354193,0.11057821338318517,8.641441269564574,2.7398305156926464,2.7398305156926464,8.641441269564574,8.641441269564574,8.641441269564574,8.641441269564574,8.641441269564574,2.7398305156926464,2.7398305156926464,2.7398305156926464,2.7398305156926464,2.7398305156926464
