GEOID,POPULATION,coverage_pct,pop_with_access
80124,21646,2.0397041442990732e-07,0
80126,44574,1.0,44574
80112,34714,0.1431086548578983,4968
80121,18567,0.3060313445584237,5682
80111,32495,0.1734935261552061,5638
80237,21771,0.2679685213123535,5834
80113,23715,0.39946610795823406,9473
80014,39540,0.28728432466219705,11359
80222,24682,0.54260743030683,13393
80231,36103,0.31504365093211073,11374
80129,32286,0.0,0
80122,33120,0.17363828522020217,5751
80120,30632,0.0,0
80123,46575,0.2191846698929653,10209
80110,23295,0.002287526605022457,53
80235,8565,0.10207744062227692,874
80236,18580,0.1108306040362942,2059
80227,34850,0.23542956478400345,8205
80232,23102,0.8084365743381762,18677
80223,20888,0.1382419718025663,2888
80210,37786,0.22687206805773952,8573
80224,19450,0.3604337603648891,7010
80247,30161,0.2113883169585767,6376
80012,53862,0.9999999999999999,53862
80246,13277,0.2104276440828748,2794
80209,25032,0.2214138840704315,5542
80230,10077,0.3258399811121641,3283
80206,24913,0.36508482656372254,9095
80220,36790,0.2859361120390153,10520
80010,43653,0.06405176251067833,2796
80219,71795,0.5876101806081204,42187
80226,33022,0.9891430976555023,32663
80218,18915,0.8396871575145665,15883
80203,21368,0.7541785472640651,16115
80204,34860,0.4441116990850453,15482
80264,0,1.0,0
80290,96,1.0,96
80293,0,1.0,0
80214,26021,0.14824789810086483,3858
80294,0,1.0,0
80045,901,0.0,0
80207,27326,0.09998389922324132,2732
80205,34884,0.5784813358541226,20180
80238,21355,0.034046936755352405,727
80239,48835,0.1144995472387625,5592
80216,14687,0.17740578072183996,2606
80202,15813,0.9303495663888831,14712
80211,36061,0.8058502828041927,29060
80212,20240,0.3777662423505778,7646
80033,26742,0.0,0
80002,19319,0.006768015047887974,131
80221,40266,0.45927519209098505,18493
80016,58948,0.023572843680345706,1390
80015,70215,0.20397596725619166,14322
80011,51806,0.1364860934806977,7071
80137,2157,0.0,0
80019,3696,0.0,0
80249,35104,0.02708896264065899,951
80022,51752,0.0,0
80603,14076,0.0,0
80642,5694,0.0,0
60543,40930,0.0,0
60585,25503,0.0,0
60538,28206,2.3409189093516997e-05,1
60503,17229,0.0,0
60564,43667,0.0,0
60506,55895,0.010938436382326323,611
60504,39449,0.10814763674318706,4266
60554,12458,0.0,0
60505,71617,0.1492860080521808,10691
60519,26,0.9630156169949307,25
60540,43887,0.8666831847406934,38036
60502,22970,0.0460878868038032,1059
60542,18363,0.0,0
60563,38785,0.0,0
60555,13282,0.0,0
60510,29352,0.0,0
