GEOID,POPULATION,coverage_pct,pop_with_access
63090,21671,0.0,0
63068,5685,0.0,0
63332,1656,0.0,0
63014,717,0.0,0
65041,5465,0.0,0
63357,7160,0.0,0
63348,8060,0.0,0
65069,506,0.0,0
63390,10310,0.0,0
63383,15631,0.0,0
63351,1943,0.0,0
63363,1828,0.0,0
63350,562,0.0,0
63349,1916,0.0,0
63381,566,0.0,0
48125,20189,0.2648739689510865,5348
48128,10813,0.14581877988317626,1577
48127,35441,0.27457827081782976,9731
48239,36470,0.24986805883901683,9113
48223,26027,0.22137247879607733,5762
48146,36525,0.0,0
48229,9456,0.0,0
48101,27089,0.0,0
48218,7465,0.0,0
48217,6608,0.0,0
48122,10300,0.0,0
48124,28086,0.1490452817725541,4186
48209,30607,0.28389099329389644,8689
48120,7737,0.28305947891118366,2190
48126,47692,0.4169474694199751,19885
48233,0,0.3305574020094341,0
48216,5426,0.8642198552929589,4689
48243,0,0.9999999999999998,0
48226,7324,0.8996508493670685,6589
48201,16040,0.1855191031125538,2976
48208,9134,0.6053471645103727,5529
48207,21282,0.6381708036035816,13582
48214,21317,0.6327520459096267,13488
48202,15611,0.618709715516888,9659
48215,10855,0.4804370716145634,5215
48210,29663,0.5038020084474844,14944
48228,57698,0.5900261917836593,34043
48204,23528,0.47477098311537375,11170
48206,16535,0.75276398104745,12447
48227,40147,0.8176167091654437,32825
48238,25259,0.6380349597099741,16116
48203,22901,0.14021853761889325,3211
48235,46426,0.5662292397279233,26288
48221,40905,0.7780319632619178,31825
48075,21810,0.9538363944445973,20803
48211,6086,0.1326117155431774,807
48230,16284,0.5081782090673558,8275
48213,22030,0.608224475473739,13399
48212,39186,0.3808614011575387,14924
48224,42200,0.6311839196661447,26636
48234,33969,0.5701916461595442,19369
48236,29592,0.5012637766670431,14833
48205,33606,0.8416957041101403,28286
48225,14049,0.41589399403765714,5843
48021,32149,0.5562114271119509,17882
48240,16871,0.791235445414939,13349
48219,45503,0.6179074597818088,28117
48033,17247,0.0,0
48220,22639,0.003939908980555629,89
48030,16452,0.9793178274046065,16112
48237,29603,0.9348888320715808,27676
48091,29483,0.35521988806574983,10473
48089,31411,0.8692516964916588,27304
