GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,97,0.0,0,51,4,47,6,0.0784313725490196,0.1276595744680851,0.08322390019697964,24.055836367978248,13.17724753367415,13.17724753367415,24.055836367978248,24.055836367978248,24.055836367978248,24.055836367978248,24.055836367978248,13.17724753367415,13.17724753367415,13.17724753367415,13.17724753367415,13.17724753367415
g2,177,0.0,0,92,8,86,12,0.08695652173913043,0.13953488372093023,0.08322390019697964,25.865698789255358,18.87095273366359,18.87095273366359,25.865698789255358,25.865698789255358,25.865698789255358,25.865698789255358,25.865698789255358,18.87095273366359,18.87095273366359,18.87095273366359,18.87095273366359,18.87095273366359
g3,146,0.0,0,76,6,71,10,0.07894736842105263,0.14084507042253522,0.08322390019697964,32.364716720059334,20.8646258363738,20.8646258363738,32.364716720059334,32.364716720059334,32.364716720059334,32.364716720059334,32.364716720059334,20.8646258363738,20.8646258363738,20.8646258363738,20.8646258363738,20.8646258363738
g4,13,0.0,0,7,1,6,1,0.14285714285714285,0.16666666666666666,0.08322390240596811,35.28463125747112,20.701764574791053,20.701764574791053,35.28463125747112,35.28463125747112,35.28463125747112,35.28463125747112,35.28463125747112,20.701764574791053,20.701764574791053,20.701764574791053,20.701764574791053,20.701764574791053
g5,41,0.0,0,20,1,19,2,0.05,0.10526315789473684,0.10308334181337132,43.47225197651835,51.104810022655144,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835,43.47225197651835
g6,62,0.0,0,30,2,28,3,0.06666666666666667,0.10714285714285714,0.10269890362884525,22.284925578281126,42.33313652081305,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126,22.284925578281126
g7,1695,0.962568335066951,1632,901,21,682,46,0.023307436182019976,0.06744868035190615,0.0902376204617423,22.29092855815434,23.966249507559517,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434,22.29092855815434
g8,454,0.9467207359223075,430,241,6,184,13,0.024896265560165973,0.07065217391304347,0.08498655159874557,22.668508590836076,20.022873145616366,20.022873145616366,22.668508590836076,22.668508590836076,22.668508590836076,22.668508590836076,22.668508590836076,20.022873145616366,20.022873145616366,20.022873145616366,20.022873145616366,20.022873145616366
g9,186,0.015720813551869814,3,97,8,91,12,0.08247422680412371,0.13186813186813187,0.08322390019697964,22.29105909246768,17.463925014093032,17.463925014093032,22.29105909246768,22.29105909246768,22.29105909246768,22.29105909246768,22.29105909246768,17.463925014093032,17.463925014093032,17.463925014093032,17.463925014093032,17.463925014093032
g10,197,0.0,0,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697963,26.050899048021755,21.30049800514802,21.30049800514802,26.050899048021755,26.050899048021755,26.050899048021755,26.050899048021755,26.050899048021755,21.30049800514802,21.30049800514802,21.30049800514802,21.30049800514802,21.30049800514802
g11,114,0.0,0,60,5,56,8,0.08333333333333333,0.14285714285714285,0.08322390019697964,29.916669954660197,23.622642080333705,23.622642080333705,29.916669954660197,29.916669954660197,29.916669954660197,29.916669954660197,29.916669954660197,23.622642080333705,23.622642080333705,23.622642080333705,23.622642080333705,23.622642080333705
g12,1022,0.1601928550154903,164,550,5,415,26,0.00909090909090909,0.06265060240963856,0.10263108094869865,23.614231985054833,41.269962663346256,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833,23.614231985054833
g13,274,0.5491992783091741,150,134,7,124,11,0.05223880597014925,0.08870967741935484,0.10170602495444593,19.591107609483398,39.63931855201532,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398,19.591107609483398
g14,2862,0.9185121625692111,2629,1536,46,1205,102,0.029947916666666668,0.08464730290456432,0.08413196559608467,17.71921741402279,34.35898392123479,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279,17.71921741402279
g15,43,1.0,43,23,2,21,3,0.08695652173913043,0.14285714285714285,0.08322390019697964,15.868215424868197,30.172629357701435,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197,15.868215424868197
g16,184,1.0,184,96,7,86,10,0.07291666666666667,0.11627906976744186,0.08324737443472054,15.25433441984451,28.840919037714183,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451,15.25433441984451
g17,2623,1.0,2623,1392,37,1069,78,0.02658045977011494,0.07296538821328344,0.08418742536939396,20.00584283868537,23.021296946687354,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537,20.00584283868537
g18,197,0.24293526523932815,48,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697963,21.815980474198184,21.361223265823128,21.361223265823128,21.815980474198184,21.815980474198184,21.815980474198184,21.815980474198184,21.815980474198184,21.361223265823128,21.361223265823128,21.361223265823128,21.361223265823128,21.361223265823128
g19,185,0.0,0,97,8,90,12,0.08247422680412371,0.13333333333333333,0.08322390019697964,25.031010750197915,22.542723953039086,22.542723953039086,25.031010750197915,25.031010750197915,25.031010750197915,25.031010750197915,25.031010750197915,22.542723953039086,22.542723953039086,22.542723953039086,22.542723953039086,22.542723953039086
g20,15,0.0,0,8,1,7,1,0.125,0.14285714285714285,0.08322390019697964,27.877959192133734,23.190953173857324,23.190953173857324,27.877959192133734,27.877959192133734,27.877959192133734,27.877959192133734,27.877959192133734,23.190953173857324,23.190953173857324,23.190953173857324,23.190953173857324,23.190953173857324
g21,484,0.0,0,171,4,179,0,0.023391812865497075,0.0,0.10105403820387239,40.444799931061574,38.74267918862801,38.74267918862801,40.444799931061574,40.444799931061574,40.444799931061574,40.444799931061574,40.444799931061574,38.74267918862801,38.74267918862801,38.74267918862801,38.74267918862801,38.74267918862801
g22,1599,1.0,1599,878,1,634,36,0.0011389521640091116,0.056782334384858045,0.09769477254221996,16.987173497607376,34.642904175898806,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376,16.987173497607376
g23,2675,1.0,2675,1461,5,1067,63,0.0034223134839151265,0.059044048734770385,0.10154114517972103,15.748095364419296,34.94613665592057,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296,15.748095364419296
g24,311,1.0,311,162,8,140,14,0.04938271604938271,0.1,0.08948142323887077,15.558803318053393,36.005196780481526,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393,15.558803318053393
g25,197,1.0,197,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697964,12.655479483584935,30.241611996885283,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935,12.655479483584935
g26,196,1.0,196,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697964,12.580096355883983,26.443896602661003,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983,12.580096355883983
g27,197,1.0,197,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697963,15.942267049456255,25.427258472895442,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255,15.942267049456255
g28,197,0.5407125116977841,107,103,9,96,13,0.08737864077669903,0.13541666666666666,0.08322390019697963,20.262057167106065,27.291039749144986,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065,20.262057167106065
