GEOID,POPULATION,coverage_pct,pop_with_access
10003990100,0,0.0,0
34033021500,1855,0.0,0
10003015200,6110,0.0,0
10003015502,2892,0.0,0
10003015400,2812,0.0,0
10003001902,2131,0.026303645592985696,57
10003012900,4478,0.0,0
34033020300,2744,0.0,0
34033020200,2049,0.0,0
10003980100,0,0.0,0
10003002700,2654,0.4990569596378725,1323
10003012500,5015,0.8578265204386839,4302
10003002900,3558,0.5717097862767154,2033
10003002600,3785,1.0,3786
10003002500,3263,0.8847332924586143,2886
10003012300,2716,0.3240058910162003,880
10003002100,1748,1.0,1748
10003002200,2815,1.0,2816
10003000900,2446,1.0,2445
10003003002,3593,0.26384636793765653,948
10003002800,1886,0.9532660647902284,1795
10003001600,2268,1.0,2269
10003002300,2490,1.0,2490
10003012200,4621,0.9770612421553776,4515
10003001500,2196,0.9554140127388535,2100
10003000602,2724,0.7812844036697247,2129
10003002400,3940,0.5800152168399696,2287
10003001400,1990,0.9265593561368209,1842
10003000601,3323,0.08421052631578947,280
10003010704,3977,0.5473975358310285,2177
10003000500,3892,0.4154676258992806,1617
10003001100,3183,0.176821608040201,563
10003000400,3241,0.055846960814563404,181
10003001200,1684,0.0427807486631016,72
10003000300,3007,0.0,0
10003001300,3242,0.000617093489663684,2
10003000200,5596,0.0,0
10003011900,2999,0.0,0
10003010800,4653,0.0,0
10003011700,4440,0.0,0
34015500205,3380,0.0,0
34015500300,2964,0.0,0
42101980905,0,0.0,0
42101037300,5632,0.21697443181818182,1222
42101980906,0,0.0,0
42101003800,3912,1.0,3915
42101003702,3922,1.0,3921
42101980904,0,0.0,0
42101003701,5617,1.0,5616
42101003600,7109,0.9815700619020822,6977
42045980000,0,0.0,0
42101980400,0,0.0,0
42101980901,0,0.0,0
42101005600,1239,0.8802588996763754,1088
42101006000,6370,1.0,6371
42101006100,2776,0.9967567567567568,2766
42101006200,4672,1.0,4672
42101006300,4599,1.0,4600
42101006700,7215,0.9709020368574199,7007
42101006400,4801,1.0,4802
42045403701,1683,0.0,0
42045403402,3806,0.0,0
42101005400,1552,0.02189311010946555,34
42045402900,3388,0.0,0
42101005500,6172,0.92656832549846,5716
42045402700,2541,0.8442171518489379,2146
42045402400,2779,1.0,2779
42045402300,3280,1.0,3280
42045402100,5847,0.9702564102564103,5676
42045400302,3434,0.0,0
42101006600,3370,1.0,3371
42101039100,3580,0.7446274072006698,2668
42101007000,3598,1.0,3598
42101006500,3867,0.9123351435221102,3528
42101007101,2710,1.0,2712
42101007400,4506,0.992676431424767,4473
42101007102,4476,1.0,4477
42101007200,4578,0.8279100240227124,3791
42101007300,3146,1.0,3147
42101007800,4066,1.0,4066
42101008101,3258,0.27523780300705736,897
42101008200,6202,0.12586623690572118,781
42101007900,4044,0.8447082096933729,3416
42101008000,3900,0.48064598820815174,1875
42101008102,4786,0.053060371840401084,254
42101008701,3318,1.0,3318
42101008601,3355,0.9958283671036948,3342
42101008500,6272,0.5028708133971291,3153
42101008602,3126,1.0,3126
42101008302,4586,0.2795112371808859,1281
42101000801,1631,1.0,1632
42101036902,6034,1.0,6037
42101008802,5956,1.0,5956
42101008702,2601,1.0,2602
42101008801,2073,1.0,2074
42101009000,6405,1.0,6405
42101009100,2722,1.0,2722
42101980003,0,0.0,0
42101009200,3640,1.0,3640
42101010900,2749,1.0,2750
34015500201,2430,0.0,0
42101980701,0,0.0,0
42101037200,4241,0.7990092002830856,3387
42101004104,4212,1.0,4213
42101004202,5763,1.0,5763
42101004103,5244,1.0,5244
42101004201,5374,1.0,5375
42101004101,4952,1.0,4952
42101002702,4300,1.0,4301
42101002701,4098,1.0,4097
42101989200,0,0.0,0
42101980600,0,0.0,0
42101003902,5682,0.9938401971136923,5647
42101004002,5247,1.0,5249
42101003901,6429,1.0,6431
42101004001,4037,1.0,4038
42101003001,3722,1.0,3722
42101002802,5772,1.0,5773
42101002900,3762,1.0,3761
42101003100,4575,0.9486226497595103,4339
42101002801,4452,1.0,4454
42101002500,4199,1.0,4198
42101002400,4892,1.0,4895
42101001700,3039,1.0,3039
42101001800,3081,1.0,3081
42101001600,2481,1.0,2482
42101001500,3260,1.0,3259
42101001102,2532,1.0,2533
42101001002,3158,1.0,3158
42101001001,2816,1.0,2817
42101003002,2961,1.0,2962
42101002300,2977,1.0,2976
42101002200,2669,1.0,2669
42101002100,2321,1.0,2321
42101001900,3995,1.0,3995
42101001400,4100,1.0,4102
42101001101,4072,1.0,4072
42101001204,3156,1.0,3156
42101001203,1827,1.0,1827
42101000901,1976,1.0,1976
42101003200,4100,0.9543568464730291,3910
42101980903,0,0.0,0
42101980902,0,0.0,0
42101003300,6417,1.0,6418
42101002000,1882,1.0,1883
42101001301,1672,1.0,1673
42101001302,5213,1.0,5213
42101007700,1946,0.9681397738951696,1884
42101036901,0,0.0,0
42101001201,4085,1.0,4086
42101000806,2149,1.0,2149
42101000805,2642,1.0,2643
42101000803,2921,1.0,2921
42101000701,1665,1.0,1665
42101000702,2114,1.0,2115
42101000403,775,1.0,774
42101000404,3383,1.0,3383
42101000401,2577,1.0,2578
42101000300,3586,1.0,3585
42101012501,2182,1.0,2182
42101000902,2764,1.0,2764
42101000600,1312,1.0,1311
42101000101,1879,1.0,1879
42101000500,2826,1.0,2825
42101000102,2988,1.0,2990
42101000200,3175,1.0,3176
42101037600,3293,1.0,3296
42101036700,3121,1.0,3120
42101013100,1752,1.0,1750
42101013200,2643,1.0,2645
42101012502,3467,1.0,3466
42101013402,2887,1.0,2887
42101013401,2790,1.0,2789
42101013300,3130,1.0,3131
42101013601,2864,1.0,2863
42101013500,4019,1.0,4018
42101014000,3869,1.0,3869
42101013900,1797,0.8364849833147943,1504
42101013800,1645,1.0,1648
42101014800,722,0.0,0
42101014201,3735,1.0,3736
42101014100,2674,1.0,2675
42101014500,1962,1.0,1963
42101014600,4208,0.9717205323193916,4089
42101014700,2537,0.6168703192747339,1565
42101015600,1561,1.0,1560
42101037700,5100,1.0,5100
42101015300,3913,0.3513030148185999,1375
42101016500,3121,0.9913489266260814,3094
42101016400,4410,1.0,4410
42101010600,1668,1.0,1668
42101010800,4178,1.0,4178
42101010700,3821,0.9963350785340314,3806
42101013602,4031,1.0,4031
42101011000,3346,0.7130902570233114,2386
42101013702,3507,1.0,3508
42101013701,1498,1.0,1498
42101014900,4091,0.9090464547677262,3718
42101980001,0,0.0,0
42101015101,1929,1.0,1930
34015500100,4171,0.0,0
34007605100,2196,0.8460837887067395,1858
34007611000,6154,0.0,0
34007602000,6234,0.8422824170540151,5255
34007601900,2920,0.8354430379746836,2442
42101980702,0,0.0,0
34007601800,982,0.1814516129032258,180
