GEOID,POPULATION,coverage_pct,pop_with_access
19720,59410,0.0,0
08023,274,0.0,0
08069,12442,0.0,0
19804,17529,0.0,0
19801,17447,0.20386702631607415,3557
19805,38061,0.5023954105977347,19122
19802,26126,0.04687476206608995,1225
19809,14827,0.0,0
19806,9313,0.030401787469736825,283
19807,7369,0.0,0
08086,7438,0.0,0
08063,3007,0.0,0
19153,12909,0.10822885435717991,1397
19145,44508,0.2665338739638808,11863
19142,29864,0.9033056395279635,26976
19146,40635,0.8264396161878799,33582
19143,62927,0.4274846530581353,26900
19103,25113,0.9999999999999988,25113
19104,52480,0.7726824444099684,40550
19139,45198,0.4483574343803762,20265
19803,21484,0.0,0
19113,82,0.0,0
19029,4027,0.0,0
19079,9068,0.0,0
19023,22087,0.7761118516498925,17142
19050,27485,0.7682233393950677,21115
19082,42670,0.024913184256177827,1063
19151,32306,0.15285073122584325,4938
19096,14262,0.0,0
19066,5319,0.0,0
19130,28010,0.9879210339516399,27672
19121,31664,0.35426304218565946,11217
19131,44649,0.31727058394502294,14166
19132,29850,0.7160157761692816,21373
19129,11408,0.6655463435675572,7593
19004,9246,0.35187101634088125,3253
19127,5610,0.5855330880128307,3285
19144,44968,0.3855767047760377,17339
19128,37677,0.16425331650604408,6189
19119,29055,0.39556553865930383,11493
19072,10008,0.03654782551687512,366
19035,3936,0.0,0
19428,18215,0.0,0
19444,10855,0.0,0
19118,10826,0.2782082006233678,3012
19150,22916,0.2519807028722328,5774
19038,31615,9.400894811655137e-05,3
19031,4390,0.0,0
08093,9000,0.0,0
19112,0,0.0,0
08030,13117,0.0,0
19148,51754,0.32090024437997516,16608
08104,22187,0.4551255768189482,10098
19147,38809,0.8287762853911159,32164
08103,14239,0.002865299332952403,41
19106,13536,0.6610158560884846,8948
19109,0,1.0,0
19107,14689,0.9999999999999996,14689
08059,5380,0.0,0
08107,13533,0.9965609375869128,13486
08108,18004,0.0,0
08109,22741,0.0,0
08105,26807,0.15856306498323838,4251
08110,19124,0.7782054512033079,14882
19137,8652,0.0409884111270314,355
08077,19120,0.0,0
08065,7162,0.0,0
19124,71858,0.33389452228629835,23993
19102,5335,1.0,5335
08102,8050,0.0,0
19123,17793,0.8961450747150247,15945
19125,25705,0.5965925428730537,15335
19122,21067,0.8100626332193128,17066
19134,61615,0.31833164676647935,19614
19133,26705,0.7206157458102947,19244
19140,52608,0.6975996553988876,36699
19120,74270,0.5295383818960394,39329
19141,34115,0.125585553433592,4284
19135,36102,0.26711221295572685,9643
19149,58811,0.3574183976590564,21020
19136,34962,0.10312169748544382,3605
19012,6749,0.7830547373307839,5285
19152,37436,0.42954453307705587,16080
19111,67159,0.0,0
19114,31448,0.25828857361130336,8123
19115,35504,0.2349176851779746,8341
19154,34946,0.04483175582972349,1567
19046,17961,0.0,0
19138,33711,0.2567999081198024,8657
19126,16609,0.4514047703268787,7497
19027,19216,0.9182200812433687,17645
19095,7515,0.9987832659975335,7506
19020,54850,0.0,0
19116,33976,0.10132495506215326,3443
19006,21897,0.0001453387847496442,3
19053,26498,0.24800522201098002,6572
