GEOID,POPULATION,coverage_pct,pop_with_access
06059990100,0,0.0,0
06059099510,4494,0.0,0
06059076103,9734,0.0,0
06059076102,8657,0.0,0
06059110007,5280,0.0,0
06059088403,6473,0.0,0
06059088302,6435,0.3574759092322039,2300
06059088402,4539,0.0,0
06059088301,6173,0.7310434219053791,4512
06059088202,3807,0.0,0
06059099511,2828,0.0,0
06037577504,1420,0.0,0
06037577300,5594,0.0,0
06037577200,5758,0.05098312162867583,293
06037576700,4015,0.06630109670987039,266
06037576602,4781,0.0826722338204593,396
06059099504,3449,0.0,0
06037577604,1632,0.5272838749233599,860
06037577501,3398,0.34501030320871356,1172
06037577400,2771,0.0,0
06037980033,14,0.0,0
06037576001,5416,0.18371107425833794,997
06037576200,5079,0.9836614173228346,4997
06037575902,5411,0.5780816854555535,3128
06037575901,3695,0.0013535462912831618,5
06037576301,4409,1.0,4411
06037575803,3205,1.0,3205
06037575802,5499,0.8352128046562386,4592
06037575801,2240,0.19249665029030819,431
06037575300,4382,1.0,4384
06037980007,0,0.0,0
06037576601,3758,0.8685121107266436,3263
06037577605,4301,0.09863077280111394,425
06037577602,3016,0.054635761589403975,165
06037577606,4067,0.0924059965593512,376
06037577100,6966,0.13715352577911818,955
06037576801,3699,0.9210810810810811,3408
06037576802,3938,0.6489712979425959,2555
06037576503,3941,1.0,3941
06037576502,5176,1.0,5176
06037576501,2986,1.0,2989
06037576904,3050,1.0,3050
06037574602,1273,0.0,0
06037577000,7064,0.26426043878273175,1867
06037576901,4992,1.0,4991
06037576403,5043,1.0,5044
06037576402,4805,1.0,4807
06037576401,5172,1.0,5173
06037576302,3526,1.0,3525
06037576903,3327,1.0,3328
06037578100,2371,0.27618243243243246,654
06037574800,3069,0.33920417482061316,1040
06037575102,4066,1.0,4066
06037574500,6625,0.06071590394200272,402
06037575103,5131,1.0,5130
06037575002,4583,0.3305694959633428,1515
06037575202,3796,0.8991308928101133,3414
06037575201,4745,1.0,4747
06037575101,4231,0.9182033096926714,3884
06037574902,5481,0.1570308225424038,861
06037575402,3935,1.0,3934
06037575401,4602,0.46237494562853415,2126
06037980011,75,0.07042253521126761,5
06037573202,6348,0.9913385826771653,6295
06037573002,3721,0.5608707336737436,2087
06037573004,4866,0.03227796052631579,157
06037573003,1788,0.0,0
06037578000,6380,0.10675654491299577,681
06037573201,4339,0.3111315971421987,1350
06037573101,4741,0.0,0
06037574901,3897,1.0,3903
06037575001,4283,0.0,0
06037573300,4112,1.0,4112
06037573403,3194,0.11670838548185232,373
06037574300,5942,0.562058526740666,3342
06037573402,6778,0.6852589641434262,4644
06037574202,2400,0.015006252605252188,36
06037574400,5509,0.054929065114587124,302
06037574201,3001,0.4675108297234255,1403
06037573401,1458,0.0,0
06059088201,3803,0.0,0
06059076104,5087,0.06572215663124754,334
06059087504,7420,0.0,0
06059087503,6230,0.03625862345579978,226
06059087602,8978,0.7181372549019608,6446
06059021912,4716,0.0,0
06037980006,0,0.0,0
06059980000,35,0.0,0
06059087505,4409,0.019505556815604445,86
06059087704,5451,0.2558651026392962,1396
06059087803,6130,0.5686082558329254,3485
06059087703,5984,0.150927628280127,903
06059087806,6562,1.0,6563
06059087801,4724,0.0,0
06059087805,6446,1.0,6449
06059087802,8151,0.0,0
06059086303,9098,0.1046780407264722,951
06059087403,2989,0.0,0
