GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,3494,1.0,3494,1709,17,919,56,0.00994733762434172,0.060935799782372145,0.31332738161103535,3.3594798402606942,1.0711563028365267,1.0711563028365267,3.3594798402606942,3.3594798402606942,3.3594798402606942,3.3594798402606942,3.3594798402606942,1.0711563028365267,1.0711563028365267,1.0711563028365267,1.0711563028365267,1.0711563028365267
g2,507,1.0,507,240,2,129,8,0.008333333333333333,0.06201550387596899,0.24200188134877412,21.816967735004987,8.413636926200581,8.413636926200581,21.816967735004987,21.816967735004987,21.816967735004987,21.816967735004987,21.816967735004987,8.413636926200581,8.413636926200581,8.413636926200581,8.413636926200581,8.413636926200581
g3,2,1.0,2,1,0,1,0,0.0,0.0,0.23143385624632445,18.20752879767278,3.976182568392545,3.976182568392545,18.20752879767278,18.20752879767278,18.20752879767278,18.20752879767278,18.20752879767278,3.976182568392545,3.976182568392545,3.976182568392545,3.976182568392545,3.976182568392545
g4,99,1.0,99,40,2,29,2,0.05,0.06896551724137931,0.21417714522592235,0.7182467481058912,1.6207290402676826,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912,0.7182467481058912
g5,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,3.898600225480425,3.175901655289653,3.175901655289653,3.898600225480425,3.898600225480425,3.898600225480425,3.898600225480425,3.898600225480425,3.175901655289653,3.175901655289653,3.175901655289653,3.175901655289653,3.175901655289653
g6,250,1.0,250,102,4,72,5,0.0392156862745098,0.06944444444444445,0.21472010272685219,6.872715396749503,5.887413281729206,5.887413281729206,6.872715396749503,6.872715396749503,6.872715396749503,6.872715396749503,6.872715396749503,5.887413281729206,5.887413281729206,5.887413281729206,5.887413281729206,5.887413281729206
g7,52,1.0,52,23,1,14,1,0.043478260869565216,0.07142857142857142,0.21737763594465415,17.908456821547958,0.5930496471473754,0.5930496471473754,17.908456821547958,17.908456821547958,17.908456821547958,17.908456821547958,17.908456821547958,0.5930496471473754,0.5930496471473754,0.5930496471473754,0.5930496471473754,0.5930496471473754
g8,87,1.0,87,35,2,25,2,0.05714285714285714,0.08,0.21417714522592235,3.320084766624982,1.5067584861957313,1.5067584861957313,3.320084766624982,3.320084766624982,3.320084766624982,3.320084766624982,3.320084766624982,1.5067584861957313,1.5067584861957313,1.5067584861957313,1.5067584861957313,1.5067584861957313
g9,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,5.16744721284162,3.6834323701587772,3.6834323701587772,5.16744721284162,5.16744721284162,5.16744721284162,5.16744721284162,5.16744721284162,3.6834323701587772,3.6834323701587772,3.6834323701587772,3.6834323701587772,3.6834323701587772
g10,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,6.883007813547252,6.5252799839104,6.5252799839104,6.883007813547252,6.883007813547252,6.883007813547252,6.883007813547252,6.883007813547252,6.5252799839104,6.5252799839104,6.5252799839104,6.5252799839104,6.5252799839104
g11,260,1.0,260,108,4,75,5,0.037037037037037035,0.06666666666666667,0.21266552228274263,10.381124035901562,4.501622607814737,4.501622607814737,10.381124035901562,10.381124035901562,10.381124035901562,10.381124035901562,10.381124035901562,4.501622607814737,4.501622607814737,4.501622607814737,4.501622607814737,4.501622607814737
g12,31,0.9999999999999999,31,16,0,9,1,0.0,0.1111111111111111,0.08403473623911115,16.177355813544462,2.3484396020764464,2.3484396020764464,16.177355813544462,16.177355813544462,16.177355813544462,16.177355813544462,16.177355813544462,2.3484396020764464,2.3484396020764464,2.3484396020764464,2.3484396020764464,2.3484396020764464
g13,73,1.0,73,29,1,22,1,0.034482758620689655,0.045454545454545456,0.21417714522592235,5.902460031321366,0.0,0.0,5.902460031321366,5.902460031321366,5.902460031321366,5.902460031321366,5.902460031321366,0.0,0.0,0.0,0.0,0.0
g14,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,7.969565934618645,2.318552095395489,2.318552095395489,7.969565934618645,7.969565934618645,7.969565934618645,7.969565934618645,7.969565934618645,2.318552095395489,2.318552095395489,2.318552095395489,2.318552095395489,2.318552095395489
g15,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,10.282425993678395,6.24492183853027,6.24492183853027,10.282425993678395,10.282425993678395,10.282425993678395,10.282425993678395,10.282425993678395,6.24492183853027,6.24492183853027,6.24492183853027,6.24492183853027,6.24492183853027
g16,288,1.0,288,116,5,85,6,0.04310344827586207,0.07058823529411765,0.2121372825085678,13.090080324252627,2.400671338033365,2.400671338033365,13.090080324252627,13.090080324252627,13.090080324252627,13.090080324252627,13.090080324252627,2.400671338033365,2.400671338033365,2.400671338033365,2.400671338033365,2.400671338033365
g17,2573,0.969383108147662,2494,938,35,612,64,0.03731343283582089,0.10457516339869281,0.09468588483070553,17.415599436632945,4.466042313915853,4.466042313915853,17.415599436632945,17.415599436632945,17.415599436632945,17.415599436632945,17.415599436632945,4.466042313915853,4.466042313915853,4.466042313915853,4.466042313915853,4.466042313915853
g18,50,0.0,0,18,1,12,1,0.05555555555555555,0.08333333333333333,6.770480293325421,20.259987330074964,7.310430207357869,7.310430207357869,20.259987330074964,20.259987330074964,20.259987330074964,20.259987330074964,20.259987330074964,7.310430207357869,7.310430207357869,7.310430207357869,7.310430207357869,7.310430207357869
g19,61,1.0,61,24,1,18,1,0.041666666666666664,0.05555555555555555,0.21417714522592235,7.012093708922954,1.7193575454690926,1.7193575454690926,7.012093708922954,7.012093708922954,7.012093708922954,7.012093708922954,7.012093708922954,1.7193575454690926,1.7193575454690926,1.7193575454690926,1.7193575454690926,1.7193575454690926
g20,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,0.9853885224252172,3.8575638091265096,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172,0.9853885224252172
g21,287,1.0,287,115,5,85,6,0.043478260869565216,0.07058823529411765,0.21417714522592235,9.33697265133606,4.909687915343733,4.909687915343733,9.33697265133606,9.33697265133606,9.33697265133606,9.33697265133606,9.33697265133606,4.909687915343733,4.909687915343733,4.909687915343733,4.909687915343733,4.909687915343733
