GEOID,POPULATION,coverage_pct,pop_with_access
10307,15053,0.0,0
08861,53899,0.0,0
10309,33896,0.0,0
10312,61114,0.0,0
07077,2708,0.0,0
10308,28901,0.0,0
07064,3973,0.0,0
10306,54318,0.0,0
07008,23501,0.0,0
10314,89938,0.0,0
10305,42968,0.0,0
10311,0,0.0,0
10304,42133,0.0,0
07036,43908,0.0,0
10301,38001,0.0,0
10303,27164,0.0,0
10302,17942,0.0,0
10310,24168,0.0,0
07202,41264,0.0,0
07206,27520,0.0,0
11224,45587,0.19535392665521797,8906
11214,90372,0.32161975958097605,29065
11425,0,0.0,0
11228,43878,0.15545222285185945,6821
11209,68368,0.3680750215232936,25165
11204,75840,0.7360847575825984,55825
11219,87812,0.8917489049347948,78306
11220,90657,0.2319077369088974,21024
11232,26501,0.30876451709784114,8183
11215,69995,0.6899796187731393,48295
11223,80500,0.4287764107209215,34517
11230,87188,0.2909628260453102,25368
11218,73280,0.6305461284339229,46206
11226,96332,0.0,0
11225,56072,0.4904527907865661,27501
11238,55102,0.970885159814184,53498
11217,42461,0.9999999999999996,42461
11205,47866,0.9689647651845145,46380
10009,58267,0.9388834920855327,54706
10016,52912,0.9932135012970991,52553
11231,37796,0.10277406386894437,3884
11201,64798,0.8258873362816292,53516
10004,3310,0.29622419180967113,981
10005,8664,0.9999999999999997,8664
10280,9372,0.8884513048863435,8327
10271,0,0.9999999999999999,0
10038,24205,0.9970816586627274,24134
10006,3260,1.0,3260
10279,96,1.0,96
10007,7566,0.9999999999999999,7566
07002,65112,0.0,0
07201,27369,0.0,0
07208,32319,0.0,0
07205,21955,0.0,0
07305,66595,0.0,0
07114,11947,0.0,0
07112,24376,0.0,0
07304,43554,0.0,0
07105,51097,0.0,0
07108,24777,0.0,0
10278,0,0.9999999999999998,0
10282,6086,0.6963372518938892,4238
10002,74363,0.9314035957926232,69262
07311,675,0.0,0
07302,47339,0.0,0
10013,28657,0.9967843049982968,28565
10012,23034,0.9961568866083498,22945
07310,13051,0.0,0
10003,54671,1.0,54671
10014,29071,0.766918305566015,22295
07111,54220,0.0,0
07040,25029,0.0,0
07102,13581,0.0,0
07306,51378,0.0,0
07103,33548,0.0,0
07106,33688,0.0,0
07029,20990,0.0,0
07079,16795,0.0,0
07032,41147,0.0,0
07018,28680,0.0,0
11109,6127,0.9873084165419423,6049
10168,0,1.0,0
10174,0,1.0,0
10165,0,1.0,0
10017,16065,0.7975994772927747,12813
10170,0,0.9999999999999999,0
10173,0,1.0,0
10169,0,1.0,0
10110,0,1.0,0
10167,0,1.0,0
10010,34763,0.9834032206265698,34186
10011,50228,0.5581871010742695,28037
07030,53283,0.0,0
10119,0,0.9973046982100503,0
10199,0,0.14290262981858548,0
10001,25026,0.5036207713872901,12604
07307,40012,0.0,0
10018,8135,0.5419942331227284,4409
10036,28231,0.8273879729214485,23358
07087,68121,0.0,0
11697,3527,0.0,0
11694,21258,0.0,0
11236,98821,0.03204001808962072,3166
11239,12832,0.0,0
11414,27672,0.0,0
11208,102626,0.2974270788547983,30524
11207,90867,0.5971550447187158,54262
11417,31156,0.22385474010384313,6974
11416,26087,0.4139805549474359,10800
11419,47955,0.47022496305661055,22550
11235,76921,0.17650998118939623,13577
11229,81909,0.21389822526294544,17520
11234,90372,0.1164691118137043,10526
11210,62423,0.024983594361136143,1560
11203,77589,0.0,0
11212,74037,0.622755579527996,46107
11213,67382,0.45000913247953833,30323
11233,79796,0.8149734602516796,65032
11216,59567,0.9891245199973905,58919
11221,85582,0.28079009061218857,24031
11692,22394,0.0,0
11693,13029,0.0,0
11691,68454,0.0,0
11559,8265,0.0,0
11096,8155,0.0,0
11430,220,0.006466857789430992,1
11581,21847,0.0,0
11422,32786,0.0,0
11413,41810,0.23788536104358857,9946
11420,47266,0.05429220974307858,2566
11436,18955,0.0,0
11434,62590,0.0626599244085405,3922
11580,41930,0.0,0
11411,20473,0.0,0
11412,37987,0.06784638643163846,2577
11433,36929,0.14861093437885445,5488
11435,59392,0.3478357100988531,20659
11451,0,0.8761749191497356,0
11003,44712,0.0,0
11429,27808,9.761913318012367e-05,3
11421,39654,0.2139294628129951,8483
11385,105025,0.4308692666453089,45252
11418,37666,0.39859107544840083,15013
11415,18464,0.995902100796699,18388
11424,40,0.9919703196106547,40
11379,37780,0.4147097840788848,15668
11375,72615,0.9730693703885331,70659
11374,43173,0.9019530662946251,38940
11367,40141,0.37251989430428434,14953
11373,96495,0.9084650858120163,87662
11206,87599,0.6842302522939879,59938
11237,46772,0.12959092158886784,6061
11211,104561,0.7448867475574278,77886
11378,39033,0.3814549165541729,14889
11222,36710,0.41309801589616774,15165
11104,25037,0.43434753219220384,10875
11101,32537,0.28203057406573667,9176
11377,82021,0.5331550098808104,43730
11106,37094,0.027274107703131694,1012
11103,35419,0.9595441267314934,33986
11432,64282,0.4985335527283239,32047
11423,29532,0.6149818766386369,18162
11428,19830,0.2022990654502742,4012
11001,26542,0.9186429629133142,24383
11366,14109,0.1532548136919355,2162
11427,25096,0.4130188915279233,10365
11426,20222,0.4347312571767048,8791
11365,43730,0.14753770435286118,6452
11364,35866,0.05097027624127361,1828
11004,15297,0.41684355382697946,6376
11040,41523,0.04783175007675221,1986
11362,18694,0.173282472956847,3239
11005,2249,0.0,0
11042,475,0.0,0
11358,36665,0.0,0
11361,28531,0.0,0
11020,6325,0.0,0
11363,6834,0.0,0
11360,18892,0.0,0
11021,18181,0.0,0
11368,108661,0.5408910099991631,58774
11372,63107,0.9572291369600203,60408
11355,81358,0.6057728057897478,49284
11369,30693,0.5528912955988842,16970
11354,52351,0.12002198847531433,6283
11371,0,0.0,0
11370,29366,0.3667610760461945,10770
11351,0,0.0,0
11356,24178,0.0,0
10474,11579,0.0,0
10162,1240,0.9292169234007851,1152
11102,28359,0.10461977212842816,2967
11105,37452,0.3201447238990261,11990
10128,57993,0.9250025630494682,53644
10029,74617,0.8982628775289356,67026
10035,36999,0.20718442903884873,7666
10454,37807,0.0,0
10037,19177,0.9182718807386828,17610
10455,40300,0.0,0
10030,30996,0.9951770598306919,30847
10177,0,1.0,0
10172,0,0.9999999999999999,0
10171,0,0.9140363187741918,0
