GEOID,POPULATION,coverage_pct,pop_with_access
10307,15053,0.0,0
08861,53899,0.0,0
10309,33896,0.0,0
10312,61114,0.0,0
07077,2708,0.0,0
10308,28901,0.0,0
07064,3973,0.0,0
10306,54318,0.0,0
07008,23501,0.0,0
10314,89938,0.0,0
10305,42968,0.0,0
10311,0,0.0,0
10304,42133,0.0,0
07036,43908,0.0,0
10301,38001,0.0,0
10303,27164,0.0,0
10302,17942,0.0,0
10310,24168,0.0,0
07202,41264,0.0,0
07206,27520,0.0,0
11224,45587,0.19535392665521797,8906
11214,90372,0.32161975958097605,29065
11425,0,0.0,0
11228,43878,0.16493075484639746,7237
11209,68368,0.42607223716271225,29130
11204,75840,0.7360847575825984,55825
11219,87812,0.8917489049347948,78306
11220,90657,0.26223913762632467,23774
11232,26501,0.30876451709784114,8183
11215,69995,0.6899796187731393,48295
11223,80500,0.4287764107209215,34517
11230,87188,0.3667373365686813,31975
11218,73280,0.6779280166462658,49679
11226,96332,0.11907854400342416,11471
11225,56072,0.4946431230479774,27736
11238,55102,0.9722554588559259,53573
11217,42461,0.9999999999999996,42461
11205,47866,0.9708509638681763,46471
10009,58267,0.9388834920855327,54706
10016,52912,0.9932135012970991,52553
11231,37796,0.10277406386894437,3884
11201,64798,0.8258873362816292,53516
10004,3310,0.29622419180967113,981
10005,8664,0.9999999999999997,8664
10280,9372,0.8884513048863435,8327
10271,0,0.9999999999999999,0
10038,24205,0.9970816586627274,24134
10006,3260,1.0,3260
10279,96,1.0,96
10007,7566,0.9999999999999999,7566
07002,65112,0.0,0
07201,27369,0.0,0
07208,32319,0.0,0
07205,21955,0.0,0
07305,66595,0.0,0
07114,11947,0.0,0
07112,24376,0.0,0
07304,43554,0.0,0
07105,51097,0.0,0
07108,24777,0.0,0
10278,0,0.9999999999999998,0
10282,6086,0.7870937775290535,4790
10002,74363,0.9314035957926232,69262
07311,675,0.0,0
07302,47339,0.0,0
10013,28657,0.9967843049982968,28565
10012,23034,0.9961568866083498,22945
07310,13051,0.0,0
10003,54671,1.0,54671
10014,29071,0.766918305566015,22295
07111,54220,0.0,0
07040,25029,0.0,0
07102,13581,0.0,0
07306,51378,0.0,0
07103,33548,0.0,0
07106,33688,0.0,0
07029,20990,0.0,0
07079,16795,0.0,0
07032,41147,0.0,0
07018,28680,0.0,0
11109,6127,0.9873084165419423,6049
10168,0,1.0,0
10174,0,1.0,0
10165,0,1.0,0
10017,16065,0.819685750103933,13168
10170,0,0.9999999999999999,0
10173,0,1.0,0
10169,0,1.0,0
10110,0,1.0,0
10167,0,1.0,0
10010,34763,0.9834032206265698,34186
10011,50228,0.5902920143992889,29649
07030,53283,0.0,0
10119,0,0.9999999999999998,0
10199,0,0.1463651022475738,0
10001,25026,0.5236206659119514,13104
07307,40012,0.0,0
10018,8135,0.5503882195374968,4477
10036,28231,0.8273889915385945,23358
07087,68121,0.0,0
11697,3527,0.0,0
11694,21258,0.0,0
11236,98821,0.037625624410810375,3718
11239,12832,0.0,0
11414,27672,0.0,0
11208,102626,0.32702719992806173,33561
11207,90867,0.6245902960130028,56755
11417,31156,0.24039131046405046,7490
11416,26087,0.4139805549474359,10800
11419,47955,0.5825069519213721,27934
11235,76921,0.2897674475826909,22289
11229,81909,0.21389822526294544,17520
11234,90372,0.12639106038932152,11422
11210,62423,0.07516751139143674,4692
11203,77589,0.07154534609891668,5551
11212,74037,0.7065579215839866,52311
11213,67382,0.5690855126605588,38346
11233,79796,0.8291179745993591,66160
11216,59567,0.9891245199974028,58919
11221,85582,0.28079009061218363,24031
11692,22394,0.0,0
11693,13029,0.008544072724699302,111
11691,68454,0.0,0
11559,8265,0.0,0
11096,8155,0.0,0
11430,220,0.006466857789430991,1
11581,21847,0.0,0
11422,32786,0.047064348319287935,1543
11413,41810,0.23795891024322494,9949
11420,47266,0.07079849120183988,3346
11436,18955,0.0747407280846094,1417
11434,62590,0.08062105824342027,5046
11580,41930,0.0,0
11411,20473,0.04166397382809407,853
11412,37987,0.12552173568708896,4768
11433,36929,0.17639498779058072,6514
11435,59392,0.39470684588198046,23442
11451,0,0.8761749191497356,0
11003,44712,0.0,0
11429,27808,0.04802859923659508,1336
11421,39654,0.2214818800947476,8783
11385,105025,0.4488630469849363,47142
11418,37666,0.4905397801507683,18477
11415,18464,0.995902100796699,18388
11424,40,0.9919703196106547,40
11379,37780,0.4206313493537324,15891
11375,72615,0.9730693703885331,70659
11374,43173,0.9132645444675016,39428
11367,40141,0.37638559267554117,15108
11373,96495,0.9360185980372551,90321
11206,87599,0.6880790136104598,60275
11237,46772,0.12959092158886784,6061
11211,104561,0.7537983143486394,78818
11378,39033,0.38145491655416525,14889
11222,36710,0.4271358573221746,15680
11104,25037,0.49692014117600214,12441
11101,32537,0.2846327113408377,9261
11377,82021,0.5928109140367324,48623
11106,37094,0.033265650855006254,1234
11103,35419,0.9595441267314934,33986
11432,64282,0.5120610128382339,32916
11423,29532,0.6450413440142002,19049
11428,19830,0.2022990654502742,4012
11001,26542,0.9186429629133142,24383
11366,14109,0.16101794791309987,2272
11427,25096,0.4130188915279233,10365
11426,20222,0.4347312571767048,8791
11365,43730,0.1841622722018043,8053
11364,35866,0.05557918337469624,1993
11004,15297,0.45175857669752395,6911
11040,41523,0.355039661440002,14742
11362,18694,0.173282472956847,3239
11005,2249,0.0,0
11042,475,0.0,0
11358,36665,0.0063941425926367906,234
11361,28531,0.055928228509306066,1596
11020,6325,0.0,0
11363,6834,0.0,0
11360,18892,0.0,0
11021,18181,0.0,0
11368,108661,0.5638854541136014,61272
11372,63107,0.9734548413525854,61432
11355,81358,0.6545748965643294,53255
11369,30693,0.5528912955988842,16970
11354,52351,0.13673736586409918,7158
11371,0,0.0007623131482508807,0
11370,29366,0.3848770538856923,11302
11351,0,0.0,0
11356,24178,0.17036388935759045,4119
10474,11579,0.0,0
10162,1240,0.9292169234007851,1152
11102,28359,0.24807581418703883,7035
11105,37452,0.3542466959859846,13267
10128,57993,0.9250025630494682,53644
10029,74617,0.8982628775289356,67026
10035,36999,0.2206314404848868,8163
10454,37807,0.07332223202749139,2772
10037,19177,0.9182718807386828,17610
