GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,70,0.0,0,37,0,26,1,0.0,0.038461538461538464,0.08163512857836001,60.723012873339535,55.09331423314498,55.09331423314498,60.723012873339535,60.723012873339535,60.723012873339535,60.723012873339535,60.723012873339535,55.09331423314498,55.09331423314498,55.09331423314498,55.09331423314498,55.09331423314498
g2,6585,0.0,0,3234,70,2268,26,0.021645021645021644,0.01146384479717813,0.08430490300486526,48.26465935578756,30.60344855897998,30.60344855897998,48.26465935578756,48.26465935578756,48.26465935578756,48.26465935578756,48.26465935578756,30.60344855897998,30.60344855897998,30.60344855897998,30.60344855897998,30.60344855897998
g3,21,0.0,0,11,0,8,0,0.0,0.0,0.08163512857836001,45.985980483001356,58.487289132294315,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356,45.985980483001356
g4,166,0.0,0,88,0,62,2,0.0,0.03225806451612903,0.08163512857836001,57.318931951336225,51.68923331114167,51.68923331114167,57.318931951336225,57.318931951336225,57.318931951336225,57.318931951336225,57.318931951336225,51.68923331114167,51.68923331114167,51.68923331114167,51.68923331114167,51.68923331114167
g5,107,0.0,0,57,0,40,1,0.0,0.025,0.08163512857836001,59.52178985568112,53.892091215486566,53.892091215486566,59.52178985568112,59.52178985568112,59.52178985568112,59.52178985568112,59.52178985568112,53.892091215486566,53.892091215486566,53.892091215486566,53.892091215486566,53.892091215486566
g6,0,0.0,0,0,0,0,0,0.0,0.0,0.08163512857836001,51.48017741565708,45.85047877546253,45.85047877546253,51.48017741565708,51.48017741565708,51.48017741565708,51.48017741565708,51.48017741565708,45.85047877546253,45.85047877546253,45.85047877546253,45.85047877546253,45.85047877546253
g7,119,0.0,0,63,0,44,1,0.0,0.022727272727272728,0.08163512857836001,57.53071041752999,51.90101177733544,51.90101177733544,57.53071041752999,57.53071041752999,57.53071041752999,57.53071041752999,57.53071041752999,51.90101177733544,51.90101177733544,51.90101177733544,51.90101177733544,51.90101177733544
g8,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,53.08460452551313,47.454905885318574,47.454905885318574,53.08460452551313,53.08460452551313,53.08460452551313,53.08460452551313,53.08460452551313,47.454905885318574,47.454905885318574,47.454905885318574,47.454905885318574,47.454905885318574
g9,109,0.0,0,58,0,41,1,0.0,0.024390243902439025,0.08163512857836001,56.53376699015546,50.90406834996091,50.90406834996091,56.53376699015546,56.53376699015546,56.53376699015546,56.53376699015546,56.53376699015546,50.90406834996091,50.90406834996091,50.90406834996091,50.90406834996091,50.90406834996091
g10,77,0.0,0,40,0,29,1,0.0,0.034482758620689655,0.08163512857836,51.48017741565708,45.85047877546253,45.85047877546253,51.48017741565708,51.48017741565708,51.48017741565708,51.48017741565708,51.48017741565708,45.85047877546253,45.85047877546253,45.85047877546253,45.85047877546253,45.85047877546253
g11,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,57.53071041752999,51.90101177733544,51.90101177733544,57.53071041752999,57.53071041752999,57.53071041752999,57.53071041752999,57.53071041752999,51.90101177733544,51.90101177733544,51.90101177733544,51.90101177733544,51.90101177733544
g12,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,57.01014721657671,51.38044857638216,51.38044857638216,57.01014721657671,57.01014721657671,57.01014721657671,57.01014721657671,57.01014721657671,51.38044857638216,51.38044857638216,51.38044857638216,51.38044857638216,51.38044857638216
g13,110,0.0,0,58,0,41,1,0.0,0.024390243902439025,0.08163512857836001,55.8262581409027,40.73951933200061,40.73951933200061,55.8262581409027,55.8262581409027,55.8262581409027,55.8262581409027,55.8262581409027,40.73951933200061,40.73951933200061,40.73951933200061,40.73951933200061,40.73951933200061
g14,0,0.0,0,0,0,0,0,0.0,0.0,0.08163512857836001,46.482989536615825,73.68041252086607,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825,46.482989536615825
g15,78,0.0,0,41,0,29,1,0.0,0.034482758620689655,0.08163512857836001,54.91395867098947,49.28426003079492,49.28426003079492,54.91395867098947,54.91395867098947,54.91395867098947,54.91395867098947,54.91395867098947,49.28426003079492,49.28426003079492,49.28426003079492,49.28426003079492,49.28426003079492
g16,173,0.0,0,91,0,64,2,0.0,0.03125,0.08163512857836001,52.28314768519907,46.653449045004514,46.653449045004514,52.28314768519907,52.28314768519907,52.28314768519907,52.28314768519907,52.28314768519907,46.653449045004514,46.653449045004514,46.653449045004514,46.653449045004514,46.653449045004514
g17,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,47.53664811470889,41.906949474514334,41.906949474514334,47.53664811470889,47.53664811470889,47.53664811470889,47.53664811470889,47.53664811470889,41.906949474514334,41.906949474514334,41.906949474514334,41.906949474514334,41.906949474514334
g18,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,52.73536967002228,47.105671029827725,47.105671029827725,52.73536967002228,52.73536967002228,52.73536967002228,52.73536967002228,52.73536967002228,47.105671029827725,47.105671029827725,47.105671029827725,47.105671029827725,47.105671029827725
g19,111,0.0,0,58,0,41,1,0.0,0.024390243902439025,0.08163512857836001,52.32429061109306,37.23755180219097,37.23755180219097,52.32429061109306,52.32429061109306,52.32429061109306,52.32429061109306,52.32429061109306,37.23755180219097,37.23755180219097,37.23755180219097,37.23755180219097,37.23755180219097
g20,2,0.0,0,1,0,1,0,0.0,0.0,0.08163512857836001,48.62444257493309,75.82186555918332,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309,48.62444257493309
g21,103,0.0,0,54,0,38,1,0.0,0.02631578947368421,0.08163512857836001,57.176530137752835,51.54683149755828,51.54683149755828,57.176530137752835,57.176530137752835,57.176530137752835,57.176530137752835,57.176530137752835,51.54683149755828,51.54683149755828,51.54683149755828,51.54683149755828,51.54683149755828
g22,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,58.84323176178261,53.21353312158806,53.21353312158806,58.84323176178261,58.84323176178261,58.84323176178261,58.84323176178261,58.84323176178261,53.21353312158806,53.21353312158806,53.21353312158806,53.21353312158806,53.21353312158806
g23,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,47.64865138085656,42.01895274066201,42.01895274066201,47.64865138085656,47.64865138085656,47.64865138085656,47.64865138085656,47.64865138085656,42.01895274066201,42.01895274066201,42.01895274066201,42.01895274066201,42.01895274066201
g24,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,50.12819759784444,44.498498957649886,44.498498957649886,50.12819759784444,50.12819759784444,50.12819759784444,50.12819759784444,50.12819759784444,44.498498957649886,44.498498957649886,44.498498957649886,44.498498957649886,44.498498957649886
g25,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,42.55196694919598,36.922268309001424,36.922268309001424,42.55196694919598,42.55196694919598,42.55196694919598,42.55196694919598,42.55196694919598,36.922268309001424,36.922268309001424,36.922268309001424,36.922268309001424,36.922268309001424
g26,111,0.0,0,59,0,41,1,0.0,0.024390243902439025,0.08163512857836001,49.72114679841538,34.63440798951329,34.63440798951329,49.72114679841538,49.72114679841538,49.72114679841538,49.72114679841538,49.72114679841538,34.63440798951329,34.63440798951329,34.63440798951329,34.63440798951329,34.63440798951329
g27,4,0.0,0,2,0,1,0,0.0,0.0,0.08163512857836001,46.046402264603124,39.96853507602733,39.96853507602733,46.046402264603124,46.046402264603124,46.046402264603124,46.046402264603124,46.046402264603124,39.96853507602733,39.96853507602733,39.96853507602733,39.96853507602733,39.96853507602733
g28,3,0.0,0,2,0,1,0,0.0,0.0,0.08163512857836001,43.37182972084942,37.35273247870516,37.35273247870516,43.37182972084942,43.37182972084942,43.37182972084942,43.37182972084942,43.37182972084942,37.35273247870516,37.35273247870516,37.35273247870516,37.35273247870516,37.35273247870516
g29,3,0.0,0,1,0,1,0,0.0,0.0,0.08163512857836001,40.23166275602345,34.212565513879184,34.212565513879184,40.23166275602345,40.23166275602345,40.23166275602345,40.23166275602345,40.23166275602345,34.212565513879184,34.212565513879184,34.212565513879184,34.212565513879184,34.212565513879184
g30,98,0.0,0,52,0,37,1,0.0,0.02702702702702703,0.08163512857836001,43.58443602784915,37.565338785704895,37.565338785704895,43.58443602784915,43.58443602784915,43.58443602784915,43.58443602784915,43.58443602784915,37.565338785704895,37.565338785704895,37.565338785704895,37.565338785704895,37.565338785704895
g31,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,41.1410745801092,35.51137593991464,35.51137593991464,41.1410745801092,41.1410745801092,41.1410745801092,41.1410745801092,41.1410745801092,35.51137593991464,35.51137593991464,35.51137593991464,35.51137593991464,35.51137593991464
g32,11,0.0,0,6,0,4,0,0.0,0.0,0.08163512857836001,41.27094109934786,35.641242459153304,35.641242459153304,41.27094109934786,41.27094109934786,41.27094109934786,41.27094109934786,41.27094109934786,35.641242459153304,35.641242459153304,35.641242459153304,35.641242459153304,35.641242459153304
g33,0,0.0,0,0,0,0,0,0.0,0.0,0.08163512857836001,63.8791774901534,28.79051553769995,28.79051553769995,63.8791774901534,63.8791774901534,63.8791774901534,63.8791774901534,63.8791774901534,28.79051553769995,28.79051553769995,28.79051553769995,28.79051553769995,28.79051553769995
g34,72,0.0,0,38,0,27,1,0.0,0.037037037037037035,0.08163512857836003,53.28232964248525,47.16910392384284,47.16910392384284,53.28232964248525,53.28232964248525,53.28232964248525,53.28232964248525,53.28232964248525,47.16910392384284,47.16910392384284,47.16910392384284,47.16910392384284,47.16910392384284
g35,85,0.0,0,45,0,32,1,0.0,0.03125,0.08163512857836001,47.63079863891884,41.552931450343046,41.552931450343046,47.63079863891884,47.63079863891884,47.63079863891884,47.63079863891884,47.63079863891884,41.552931450343046,41.552931450343046,41.552931450343046,41.552931450343046,41.552931450343046
g36,52,0.0,0,27,0,19,0,0.0,0.0,0.08163512857836001,42.37816122564787,36.30029403707208,36.30029403707208,42.37816122564787,42.37816122564787,42.37816122564787,42.37816122564787,42.37816122564787,36.30029403707208,36.30029403707208,36.30029403707208,36.30029403707208,36.30029403707208
g37,96,0.0,0,51,0,36,1,0.0,0.027777777777777776,0.08163512857836001,39.47565454514488,33.456557303000615,33.456557303000615,39.47565454514488,39.47565454514488,39.47565454514488,39.47565454514488,39.47565454514488,33.456557303000615,33.456557303000615,33.456557303000615,33.456557303000615,33.456557303000615
g38,174,0.0,0,92,0,65,2,0.0,0.03076923076923077,0.08163512857836001,39.47565454514488,33.456557303000615,33.456557303000615,39.47565454514488,39.47565454514488,39.47565454514488,39.47565454514488,39.47565454514488,33.456557303000615,33.456557303000615,33.456557303000615,33.456557303000615,33.456557303000615
g39,65,0.0,0,34,0,24,1,0.0,0.041666666666666664,0.08163512857836001,36.18557375180295,30.663508859807703,30.663508859807703,36.18557375180295,36.18557375180295,36.18557375180295,36.18557375180295,36.18557375180295,30.663508859807703,30.663508859807703,30.663508859807703,30.663508859807703,30.663508859807703
g40,20,0.0,0,10,0,6,0,0.0,0.0,0.08083501006036217,87.16040742777216,15.460597418538047,15.460597418538047,87.16040742777216,87.16040742777216,87.16040742777216,87.16040742777216,87.16040742777216,15.460597418538047,15.460597418538047,15.460597418538047,15.460597418538047,15.460597418538047
g41,3,0.0,0,2,0,1,0,0.0,0.0,0.08083501006036217,90.19144538742636,18.494514950331084,18.494514950331084,90.19144538742636,90.19144538742636,90.19144538742636,90.19144538742636,90.19144538742636,18.494514950331084,18.494514950331084,18.494514950331084,18.494514950331084,18.494514950331084
g42,9,0.0,0,5,0,3,0,0.0,0.0,0.08163512857836,47.8521116339656,41.73888591532319,41.73888591532319,47.8521116339656,47.8521116339656,47.8521116339656,47.8521116339656,47.8521116339656,41.73888591532319,41.73888591532319,41.73888591532319,41.73888591532319,41.73888591532319
g43,133,0.0,0,71,0,51,2,0.0,0.0392156862745098,0.09152846236892881,47.11523672152244,41.00201100288003,41.00201100288003,47.11523672152244,47.11523672152244,47.11523672152244,47.11523672152244,47.11523672152244,41.00201100288003,41.00201100288003,41.00201100288003,41.00201100288003,41.00201100288003
g44,110,0.0,0,62,1,47,3,0.016129032258064516,0.06382978723404255,0.11066276741661558,42.565216394708116,36.451990676065705,36.451990676065705,42.565216394708116,42.565216394708116,42.565216394708116,42.565216394708116,42.565216394708116,36.451990676065705,36.451990676065705,36.451990676065705,36.451990676065705,36.451990676065705
g45,97,0.0,0,55,1,42,3,0.01818181818181818,0.07142857142857142,0.11485617797102947,37.78461143525783,31.671385716615422,31.671385716615422,37.78461143525783,37.78461143525783,37.78461143525783,37.78461143525783,37.78461143525783,31.671385716615422,31.671385716615422,31.671385716615422,31.671385716615422,31.671385716615422
g46,47,0.0,0,29,1,24,3,0.034482758620689655,0.125,0.13172283527189582,34.67435404269312,28.561128324050703,28.561128324050703,34.67435404269312,34.67435404269312,34.67435404269312,34.67435404269312,34.67435404269312,28.561128324050703,28.561128324050703,28.561128324050703,28.561128324050703,28.561128324050703
g47,103,0.0,0,56,0,40,2,0.0,0.05,0.09533234084153228,33.10854017665766,27.096185765481568,27.096185765481568,33.10854017665766,33.10854017665766,33.10854017665766,33.10854017665766,33.10854017665766,27.096185765481568,27.096185765481568,27.096185765481568,27.096185765481568,27.096185765481568
