GEOID,POPULATION,coverage_pct,pop_with_access
34746,46725,0.02771091487836588,1295
34741,48520,0.4029245315334701,19550
32837,50780,0.0,0
32819,27849,0.37493264476880045,10441
32809,30100,0.0,0
34786,46044,0.0,0
32839,53012,0.2512781812602688,13321
32806,26964,0.21542451172587718,5809
32811,39905,0.1011159809396616,4035
32835,47867,0.26182095963659907,12533
34744,60555,0.30862438750031906,18689
34743,45456,0.2512627145493401,11421
32824,51946,0.0,0
32832,29359,0.08180921809717967,2402
32827,9775,0.0,0
32831,3022,0.0,0
32829,20903,0.15884377390902907,3320
32812,35174,0.2394800042459736,8423
32822,64013,0.17935064886463728,11481
32825,60254,0.0,0
32805,19764,0.28137016631697276,5561
32801,12945,0.7526992769031315,9744
32804,18695,0.242670367597713,4537
32808,60450,0.10396218162785736,6285
32789,25767,0.5221329998849468,13454
32810,38248,2.9183348059922126e-05,1
32746,46816,0.10555859729433674,4942
32828,69913,4.159608865647094e-06,0
32807,34239,0.5217166248605118,17863
32803,20771,0.539707050767913,11210
32814,8405,0.7534287600670365,6333
32792,52670,0.0,0
32773,31090,0.22155239679065727,6888
32771,57030,0.2709047498719491,15450
