GEOID,POPULATION,coverage_pct,pop_with_access
85147,4188,0.0,0
85142,77101,0.0,0
85249,40711,0.09568746995313347,3896
85298,32742,0.0,0
85286,45444,0.053250675046944064,2420
85297,32706,0.2966055434012312,9701
85295,48814,0.1411031843186401,6888
85212,40326,0.019319933416923153,779
85225,69790,0.3811894571482302,26603
85296,46934,0.0,0
85248,36396,0.015987622975476363,582
85226,39614,0.203126510959502,8047
85224,45154,0.2299116009995229,10381
85284,20782,0.18925712339967976,3933
85044,43187,0.11004734888102191,4753
85283,51800,0.28288200868016017,14653
85210,41359,0.23147924367988107,9574
85202,40037,0.20064066488549992,8033
85282,56435,0.0006909784234224848,39
85034,5438,0.03024823784199311,164
85233,36229,0.1730302696070491,6269
85234,49266,0.0,0
85209,40294,0.04229632630782224,1704
85120,31042,0.2649205137599956,8224
85208,38474,0.06112403420562437,2352
85204,69792,0.12888901212697257,8995
85206,36506,0.05086895495859581,1857
85205,44079,0.04145526249489899,1827
85213,38412,0.0001170424982173038,4
85207,51867,0.03378690240878515,1752
85281,69197,0.0,0
85201,55159,0.1861608736700916,10268
85257,33594,0.0,0
85008,62995,0.23702731326137863,14932
85251,41592,0.0,0
85018,38891,0.1097334228845842,4268
85253,18873,0.0009368618345330994,18
85028,19120,0.10961112095378195,2096
85254,47518,0.1116486428941572,5305
85032,73212,0.26942351998097913,19725
85203,40112,0.07581373907164599,3041
85256,6329,0.0,0
85215,16255,0.0,0
85255,43246,0.0,0
85054,8836,0.09097473411941041,804
85050,31864,0.03470211571595438,1106
85266,13596,0.0,0
85331,31947,0.026509545349673917,847
85339,49398,0.004687304913684544,232
85353,42230,0.0,0
85043,37779,0.005020578944293765,190
85009,54000,0.07643976151045451,4128
85035,57599,0.15081441722127825,8687
85392,38795,0.0,0
85037,55083,0.07716655443818667,4251
85031,36409,0.17022109845740177,6198
85033,64388,0.21817043084803558,14048
85017,43396,0.24049537883095082,10437
85045,6737,0.0,0
85048,36867,0.025820942979878667,952
85042,49374,0.03441068008790039,1699
85041,64657,0.03674492747164101,2376
85040,35399,0.060131931332889965,2129
85007,14820,0.12947870496931418,1919
85003,8465,0.2553180798091004,2161
85004,8223,0.3349758062346214,2755
85006,26682,0.19635259747367825,5239
85014,27888,0.35126892296087153,9796
85019,30369,0.15747572959862452,4782
85340,39394,0.0,0
85305,14452,0.0,0
85301,69181,0.2208379512712481,15278
85307,12118,0.0,0
85051,46041,0.168694171541183,7767
85302,41547,0.22992649040896354,9553
85304,29801,0.023938850329981706,713
85306,23923,0.15516257863333194,3712
85053,31381,0.36743801213894883,11531
85012,7595,0.5153715558143687,3914
85013,20912,0.44234362929289284,9250
85015,44010,0.37361300926538177,16443
85016,35627,0.24349661572220957,8675
85021,42114,0.10801832933693306,4549
85020,35742,0.14745283844938972,5270
85029,47541,0.061255934882139165,2912
85022,52146,0.3254395004704864,16970
85023,35196,0.18165242581818355,6393
85027,39488,0.05712636302233808,2256
85308,65799,0.24750135502766007,16285
85310,20492,0.08021760447007995,1644
85083,20343,0.053155898283723975,1081
85383,58375,0.0005183384004982168,30
85024,26724,0.03647456741599946,975
85085,24608,0.02641370591331594,650
85086,43447,0.019725345149171028,857
85087,8124,0.0,0
