GEOID,POPULATION,coverage_pct,pop_with_access
06073010009,6,0.0,0
06073010009,90,0.0,0
06073010009,30,0.0,0
06073010009,49,0.0,0
06073010009,101,0.0,0
06073010009,67,0.0,0
06073010009,1,0.0,0
06073010009,77,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,78,0.0,0
06073010009,14,0.0,0
06073010009,95,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,97,0.0,0
06073010009,75,0.0,0
06073010009,74,0.0,0
06073010009,74,0.0,0
06073010009,20,0.0,0
06073010009,88,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,84,0.0,0
06073010009,1,0.0,0
06073010009,78,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,34,0.0,0
06073010009,67,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,84,0.0,0
06073010009,1,0.0,0
06073010009,57,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,34,0.0,0
06073010009,47,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,84,0.0,0
06073010009,1,0.0,0
06073010009,37,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,30,0.0,0
06073010009,27,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,79,0.0,0
06073010009,0,0.0,0
06073010009,17,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
06073010009,101,0.0,0
