GEOID,POPULATION,coverage_pct,pop_with_access
06073010009,6514,0.0,0
06073010013,5863,0.0,0
06073010012,5351,0.0,0
06073010005,7717,0.0,0
06073010111,3724,0.0,0
06073010004,5562,0.0,0
06073010106,5092,0.0,0
06073010010,5242,0.0,0
06073010011,4459,0.021753756447634,97
06073010003,6134,0.02950766221062928,181
06073010015,4082,0.0,0
06073010017,6104,0.0,0
06073010018,6473,0.0,0
06073010016,4077,0.0,0
06073010019,3180,0.010728936573051436,34
06073013312,2779,0.4643371757925072,1289
06073013317,13069,0.019243986254295534,252
06073013326,4657,0.0,0
06073013309,6977,0.0,0
06073013319,6717,0.161836825679893,1089
06073010001,4927,0.5850395296979526,2886
06073013308,3938,0.3233426466852934,1273
06073013204,4297,1.0,4298
06073013206,6752,0.885452123723546,5983
06073013307,5396,0.16490642949786918,890
06073013306,4425,0.20650700406687755,914
06073013203,5717,0.3808190409520476,2176
06073013303,4953,0.027261712439418415,135
06073013302,6734,0.0,0
06073013102,6480,0.036414133621354726,236
06073013327,5879,0.0,0
06073013320,7304,0.0,0
06073013321,8786,0.6242030965391621,5483
06073013325,5547,0.0,0
06073013318,7326,0.0,0
06073013324,2306,0.0,0
06073013322,5071,0.0,0
06073013414,8062,0.0009914487544925021,8
06073013415,1244,0.0,0
06073013316,7332,0.2314083356033778,1699
06073013301,4865,0.0,0
06073012900,3461,0.426632004621606,1477
06073013409,5677,0.0,0
06073012800,4124,0.10046105314244115,414
06073013401,4096,0.0,0
06073012304,3969,0.0,0
06073013412,4657,0.011144449207029576,52
06073003204,3240,0.0,0
06073003212,4244,0.0002353494939985879,1
06073003202,4525,0.0,0
06073013323,6469,0.0,0
06073013420,3089,0.046910384988676807,145
06073013315,3975,0.6179944709726062,2459
06073013421,4081,0.0,0
06073013416,4033,0.0,0
06073013418,6242,0.24077638755213346,1501
06073013425,2021,0.0,0
06073013424,6659,0.43985583420934077,2929
06073013417,2126,0.0,0
06073013411,4877,0.010040983606557377,49
06073012501,3557,0.4044406970207982,1439
06073012700,4514,0.2273432306669621,1026
06073012302,1582,0.007580543272267846,12
06073012402,5544,0.8912729895420123,4943
06073012303,3134,0.21123165283982132,662
06073012401,3039,0.9397630019749835,2855
06073011602,4028,0.7861042183622828,3168
06073012200,3671,0.07874659400544959,289
06073012101,2281,1.0,2281
06073012102,3096,0.0,0
06073013422,3701,0.0,0
06073003207,6288,0.0,0
06073021302,8056,0.0,0
06073021304,3255,0.0,0
06073013423,3169,0.005357705641348881,17
06073003213,3964,0.05049229992426155,200
06073003214,5143,0.6404822088275326,3294
06073021306,5805,0.00997420464316423,58
06073003115,6337,0.385718789407314,2447
06073003107,5715,0.9270596466678328,5300
06073003211,3332,0.0,0
06073003208,6995,0.44190367300271544,3092
06073003209,5547,0.43480613165013526,2411
06073003201,5649,0.10636411983690836,600
06073003109,3857,0.0,0
06073003113,4905,0.0,0
06073003114,3764,0.02021276595744681,76
06073003112,4087,0.7064152791380999,2885
06073003103,6274,0.12795149968091896,802
06073003004,5567,0.7703091301222142,4286
06073014200,6486,0.0,0
06073002712,5865,0.2842266985319222,1665
06073003003,5623,0.007102272727272727,40
06073014300,3838,0.0,0
06073002711,3322,0.04695966285370259,156
06073002703,7366,0.5906559826157816,4349
06073002903,4072,0.2855036855036855,1162
06073002702,5717,0.9538300104931794,5454
06073002902,6823,0.8181818181818182,5580
06073014702,4578,0.0,0
06073010109,5304,0.0,0
06073010104,3659,0.0,0
06073010112,5633,0.0,0
06073010110,7567,0.0,0
06073010107,6709,0.07701492537313433,516
06073013205,2403,0.3618174239266361,868
