GEOID,POPULATION,coverage_pct,pop_with_access
92173,31248,0.0,0
92154,89886,0.04024656519550825,3618
91911,88593,0.4090427338391904,36238
91915,33991,0.30780145321013347,10462
91913,51054,0.10020686453988004,5116
91910,74233,0.27415852848683575,20352
91914,16889,0.10673899748284485,1803
91902,17760,0.00891162418878485,158
92139,36172,0.3450303715631004,12480
92114,69858,0.5361576892323167,37455
91932,26323,0.0,0
92118,23426,0.0,0
91950,62783,0.8587933584965226,53918
92113,58231,0.7277047886132413,42375
92132,0,0.9933949124860386,0
92101,42423,0.6017268733663195,25527
92102,42413,0.6903290932989371,29279
92134,297,0.022300004299753193,7
92104,45601,0.8246531904435348,37605
92105,75990,0.5325211273167596,40466
92135,637,0.0,0
92106,20592,0.38887066309498497,8008
92147,396,0.9674842845550843,383
92107,31667,0.7458196386945117,23618
92140,3443,0.2678725802006132,922
92110,30047,0.5778683914173075,17363
92109,46777,0.28742835210913964,13445
92117,58651,0.43893554767106596,25744
92037,38261,0.3260408756765294,12475
92121,4668,0.15501804145200346,724
91977,63267,1.0,63267
91945,26923,0.0563297300686408,1517
92115,63755,0.7699424687907911,49088
91942,40714,0.014205061733610394,578
92120,29764,0.4359983017220447,12977
92119,24915,0.2396069971641008,5970
92071,57207,7.068766452981216e-05,4
92131,34922,0.06348474175141626,2217
92145,1948,0.0,0
92064,49768,0.008277027543724422,412
92103,34246,0.7699805700335036,26369
92116,32361,0.7184027125254846,23248
92108,21013,0.3082480453801933,6477
92111,49874,0.4343164121857333,21661
92123,34103,0.15676166252689255,5346
92124,32754,0.19123807832696885,6264
92122,47842,0.06543002584819638,3130
92126,83257,0.4339172407029792,36127
92129,56608,0.005217321007299347,295
92128,52225,0.3317989899910198,17328
92130,56741,0.08030024654995353,4556
92014,13133,0.09603196372009629,1261
92075,12691,0.9999999999999999,12691
92067,8968,0.0,0
92091,1311,0.0,0
92024,50994,0.02848280763887043,1452
92009,46849,0.1962685089993877,9195
92011,24843,0.029953132091974904,744
92008,27119,0.029796321324867977,808
92010,15600,0.11363135414986765,1773
92127,50092,0.09125039660863517,4571
92029,19361,0.0,0
92078,52810,0.0,0
92065,36460,0.0,0
92025,52276,0.0,0
92027,57225,0.0,0
92081,30434,0.0,0
92056,53124,0.002905176315831234,154
92054,40709,0.0011890408545997084,48
