GEOID,POPULATION,coverage_pct,pop_with_access
06081990100,0,0.0,0
06075026403,4143,0.041264478764478765,171
06075061000,5008,0.005788423153692615,29
06075026402,5758,0.04411253907606808,254
06075025800,2112,0.9284699194694458,1960
06075023400,3873,0.5300955825368122,2052
06075980600,747,0.0,0
06075023300,3797,0.9860416117987885,3744
06075023200,4326,0.6237577998613358,2699
06075025702,3904,1.0,3904
06081600100,5101,0.0,0
06081600200,4475,0.0,0
06075026404,2712,0.14791589819254888,401
06075060502,3611,0.013292716698975353,48
06075026401,3651,0.572289156626506,2090
06075980501,153,0.020134228187919462,3
06075025900,4800,0.7346811171321384,3525
06075025600,5114,0.6526583268178264,3339
06075025701,5427,0.9655426570849457,5240
06075025403,4849,0.9212046204620462,4466
06075023003,3968,1.0,3968
06075023001,5125,1.0,5123
06075023102,3671,1.0,3669
06075023103,3954,0.37037974683544306,1463
06075061200,3769,1.0,3767
06075025100,3579,1.0,3579
06075980900,242,0.8408163265306122,206
06075022903,3216,1.0,3217
06075061401,3496,1.0,3494
06075061402,2400,0.5341666666666667,1282
06001428301,7538,0.0,0
06001428200,6782,0.0,0
06001428100,4841,0.0,0
06001427100,4251,0.19167450611476952,815
06001406100,4721,0.9358322744599746,4419
06001427200,4460,0.025560538116591928,114
06001406202,4712,1.0,4712
06001427300,5130,0.0,0
06001406201,4954,1.0,4955
06001406000,3890,0.5661783603186842,2203
06075020801,3719,1.0,3719
06075022801,5672,1.0,5672
06075020702,2355,1.0,2356
06075020802,2675,1.0,2675
06075020201,2197,1.0,2197
06075020102,2860,1.0,2861
06075020202,4201,1.0,4201
06075017700,1877,1.0,1877
06075020101,3314,1.0,3314
06075017803,2458,1.0,2458
06075022802,2424,1.0,2424
06075022600,3328,0.19024683925346178,632
06075022704,3421,1.0,3422
06075022702,2200,1.0,2200
06075060702,1203,1.0,1202
06075060701,6889,0.623476494486361,4297
06075060703,5238,1.0,5236
06075018000,3504,1.0,3503
06075017804,4382,1.0,4381
06075061502,1703,1.0,1703
06075017602,3499,1.0,3499
06075017801,3895,1.0,3895
06001428700,4447,0.0,0
06075061508,2302,0.4763352149370386,1097
06075061504,1646,1.0,1646
06075061503,3102,1.0,3102
06075061506,4899,0.9889795918367347,4846
06075061501,2050,1.0,2049
06075061505,710,1.0,710
06075011700,1727,1.0,1727
06001405901,4230,1.0,4230
06001406300,4403,1.0,4404
06001405902,3129,0.8958133589006072,2803
06001405402,3412,0.44460726846424387,1517
06001403302,2389,0.9028475711892797,2156
06001405800,3931,0.5661577608142494,2225
06001983200,587,0.8353140916808149,492
06001405401,3670,0.017433941705257423,64
06001403301,1615,1.0,1616
06001405302,2287,0.7589676290463692,1735
06075011102,2141,1.0,2140
06075011901,2390,1.0,2390
06075011902,2957,1.0,2957
06075011101,2728,1.0,2728
06075011200,3298,1.0,3298
06075011001,2796,1.0,2797
06075011300,2920,1.0,2920
06075011002,2266,1.0,2266
06075010800,5013,1.0,5013
06075010701,3800,1.0,3801
06075061507,1673,0.5552898983861327,929
06075011800,1590,1.0,1590
06075061102,2405,1.0,2405
06075061101,1913,1.0,1912
06001982000,26,0.10714285714285714,3
06075010600,3426,1.0,3426
06075010500,3151,0.7585001588814744,2387
06075010402,2238,1.0,2237
06001981900,47,0.0,0
06001402600,1255,1.0,1254
06085504602,2257,0.0,0
06085504506,7047,0.7413083581665957,5224
06085504424,4972,0.0,0
06085504422,3259,0.9920220926664621,3233
06001443301,4467,0.7148612354521039,3194
06001443322,3284,0.911442483262325,2995
06001443200,4157,0.018491834774255523,77
06001443321,3314,1.0,3315
06001441525,807,0.3092909535452323,253
06001443102,5019,0.12246520874751492,616
06001444304,5445,0.0,0
06001444602,4662,0.24163807890222985,1127
06001441503,7469,0.03974503187101612,318
06001443002,6932,0.19647755160964342,1361
06001442900,8084,0.3462727160341204,2801
06001443001,2832,0.2950530035335689,835
06001443105,4808,0.0,0
06001444601,6095,1.0,6094
06001442301,5443,0.9469140337986774,5155
06001442800,2994,1.0,2995
06001443103,4097,0.0,0
06001442400,6578,0.9700471339516497,6380
06001442200,7440,0.19900564364418166,1481
06001443104,5511,0.0,0
06001442501,3759,1.0,3762
06001444500,7537,0.9888535031847133,7452
06001442302,6342,0.9982652578457657,6330
06001442700,3035,1.0,3038
06001442502,3903,1.0,3901
06001441926,4516,1.0,4512
06001441921,3961,0.514249684741488,2039
06001442601,4040,0.9458189015338941,3823
06001441927,4263,1.0,4262
06001442100,5476,0.7483552631578947,4095
06001441701,4382,0.4949817518248175,2170
06001442602,5113,0.3767605633802817,1926
06001441923,6042,1.0,6040
06001444100,7667,0.0,0
06001441928,3774,0.19947159841479525,755
06001441929,3611,0.929125138427464,3356
06001441602,8010,0.22778332501248127,1825
06001442000,3299,0.09085384381646916,299
06001441702,4630,0.15954231433506044,739
06001441800,7661,0.7165796344647519,5489
06001441524,4136,0.18394972202078802,761
06001441601,4788,0.5230833507415918,2504
06001441523,4240,0.0,0
06001441924,7586,0.26223453370267774,1988
06001441302,5860,0.715893587994543,4198
