GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,207,0.0,0,105,3,82,2,0.02857142857142857,0.024390243902439025,0.09245851220606138,127.65777490166508,17.72302294922442,17.72302294922442,57.542255005440225,57.542255005440225,57.542255005440225,57.542255005440225,57.542255005440225,17.72302294922442,17.72302294922442,17.72302294922442,17.72302294922442,17.72302294922442
g2,504,0.0,0,255,8,199,4,0.03137254901960784,0.020100502512562814,0.09245851220606138,132.2362904273167,13.953616677093386,13.953616677093386,57.0574758954123,57.0574758954123,57.0574758954123,57.0574758954123,57.0574758954123,13.953616677093386,13.953616677093386,13.953616677093386,13.953616677093386,13.953616677093386
g3,62,0.0,0,31,1,24,0,0.03225806451612903,0.0,0.09245851220606138,129.28638123673926,22.26380923247768,22.26380923247768,56.76462121975467,56.76462121975467,56.76462121975467,56.76462121975467,56.76462121975467,22.26380923247768,22.26380923247768,22.26380923247768,22.26380923247768,22.26380923247768
g4,8,0.0,0,4,0,3,0,0.0,0.0,0.10399358756946665,139.3144357491123,21.031761998888996,21.031761998888996,56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664,21.031761998888996,21.031761998888996,21.031761998888996,21.031761998888996,21.031761998888996
g5,7,0.0,0,3,0,3,0,0.0,0.0,0.10366444713003713,142.30607299295343,24.023399242730125,24.023399242730125,56.76462121975467,56.76462121975467,56.76462121975467,56.76462121975467,56.76462121975467,24.023399242730125,24.023399242730125,24.023399242730125,24.023399242730125,24.023399242730125
g6,592,0.0,0,300,9,233,5,0.03,0.02145922746781116,0.09245851220606138,125.57855069313017,7.295876942906853,7.295876942906853,54.262735320332354,54.262735320332354,54.262735320332354,54.262735320332354,54.262735320332354,7.295876942906853,7.295876942906853,7.295876942906853,7.295876942906853,7.295876942906853
g7,942,0.0,0,477,14,371,7,0.029350104821802937,0.018867924528301886,0.09245851220606138,129.57260057590435,10.553941712244065,10.553941712244065,53.748384988657,53.748384988657,53.748384988657,53.748384988657,53.748384988657,10.553941712244065,10.553941712244065,10.553941712244065,10.553941712244065,10.553941712244065
g8,492,0.0,0,249,7,194,4,0.028112449799196786,0.020618556701030927,0.09245851220606138,135.38281207025506,17.100138320031732,17.100138320031732,53.43739847293799,53.43739847293799,53.43739847293799,53.43739847293799,53.43739847293799,17.100138320031732,17.100138320031732,17.100138320031732,17.100138320031732,17.100138320031732
g9,57,0.0,0,28,1,24,1,0.03571428571428571,0.041666666666666664,0.10366397233278285,124.8547695433504,17.83219753908882,17.83219753908882,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,17.83219753908882,17.83219753908882,17.83219753908882,17.83219753908882,17.83219753908882
g10,15,0.0,0,7,0,7,0,0.0,0.0,0.10409957350509184,128.56248364778995,21.539911643528374,21.539911643528374,53.43739847293799,53.43739847293799,53.43739847293799,53.43739847293799,53.43739847293799,21.539911643528374,21.539911643528374,21.539911643528374,21.539911643528374,21.539911643528374
