GEOID,POPULATION,coverage_pct,pop_with_access
33715,8010,0.0,0
33711,19291,0.4542087622904292,8762
33706,16404,0.0,0
33707,25148,0.3664306774645164,9215
33710,35695,0.48928801886343337,17465
33708,15377,0.0,0
33709,23690,0.4346485726671363,10297
33782,23671,0.0,0
33760,18438,0.9999999999999999,18438
33764,27273,0.46759753680507193,12753
33712,24802,0.308917157336531,7662
33705,28013,0.27457178699975315,7692
33701,16632,0.453179177662175,7537
33713,32084,0.6739317412981685,21622
33704,17202,0.4469063465037978,7688
33703,26980,0.24678811793460767,6658
33714,21049,0.7694950473972222,16197
33702,32968,0.2280634129786522,7519
33616,15373,0.07146211305963222,1099
33716,18243,0.22858391528927177,4170
33621,2655,0.0,0
33629,27059,0.49833454453242887,13484
33619,40257,0.16619740988703358,6691
33606,21789,0.2951787858960325,6432
33605,17945,0.10993007101121095,1973
33602,15860,0.8345023820157641,13235
33603,21084,0.6983785539140424,14725
33610,48490,0.45275893273243256,21954
33614,49652,0.232141907469537,11526
33604,40309,0.38024848206847617,15327
33611,34615,0.48256562317359464,16704
33762,8542,0.0,0
33609,18972,0.6296109997164956,11945
33607,25018,0.38318119522936944,9586
33634,23071,0.04401695965482071,1016
33615,49048,0.0,0
34695,18442,0.616662368439627,11372
33635,19590,0.0,0
34677,22703,0.0,0
33786,1568,0.0,0
33756,32554,0.3497826330116692,11387
33765,15076,0.5578318220450919,8410
33759,18303,0.3217401234235787,5889
33767,7493,0.04883303413843284,366
33755,26937,0.25605201136307015,6897
33763,19987,0.32246050883190586,6445
33761,19239,0.2960882197372039,5696
34698,39317,0.4700231613303656,18480
33617,48456,0.3661025118068011,17740
33612,51347,0.5177075357587473,26583
33637,17919,0.0,0
33620,5286,0.2773120827215795,1466
33618,28544,0.9999999999999999,28544
33613,36388,0.0321042132256342,1168
33592,11706,0.011631101079731568,136
33647,74066,0.07112437337006373,5268
33559,18744,0.0,0
