GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g1,0,0.0,0,0,0,0,0,0.0,0.0,0.19485361530468798,15.861846351012906,5.359310879633599,5.359310879633599,15.861846351012906,15.861846351012906,15.861846351012906,15.861846351012906,15.861846351012906,5.359310879633599,5.359310879633599,5.359310879633599,5.359310879633599,5.359310879633599
g2,79,0.0,0,41,4,26,0,0.0975609756097561,0.0,0.19485361530468798,18.758262671490172,7.617313099692806,7.617313099692806,18.758262671490172,18.758262671490172,18.758262671490172,18.758262671490172,18.758262671490172,7.617313099692806,7.617313099692806,7.617313099692806,7.617313099692806,7.617313099692806
g3,1848,0.0,0,866,76,647,49,0.08775981524249422,0.07573415765069552,0.19443230259763766,20.232061806237958,2.1207889982302146,2.1207889982302146,20.232061806237958,20.232061806237958,20.232061806237958,20.232061806237958,20.232061806237958,2.1207889982302146,2.1207889982302146,2.1207889982302146,2.1207889982302146,2.1207889982302146
g4,682,1.0,682,356,61,278,29,0.17134831460674158,0.10431654676258993,0.20244773162080512,9.038877655472387,3.2430181703861423,3.2430181703861423,9.038877655472387,9.038877655472387,9.038877655472387,9.038877655472387,9.038877655472387,3.2430181703861423,3.2430181703861423,3.2430181703861423,3.2430181703861423,3.2430181703861423
g5,180,0.5218637730344274,94,94,13,66,4,0.13829787234042554,0.06060606060606061,0.1948585128222177,15.952845240517773,1.9058416349241583,1.9058416349241583,15.952845240517773,15.952845240517773,15.952845240517773,15.952845240517773,15.952845240517773,1.9058416349241583,1.9058416349241583,1.9058416349241583,1.9058416349241583,1.9058416349241583
g6,159,0.0,0,83,9,52,0,0.10843373493975904,0.0,0.19485361530468795,19.253358025799393,5.206354420205779,5.206354420205779,19.253358025799393,19.253358025799393,19.253358025799393,19.253358025799393,19.253358025799393,5.206354420205779,5.206354420205779,5.206354420205779,5.206354420205779,5.206354420205779
g7,180,0.0,0,92,10,60,1,0.10869565217391304,0.016666666666666666,0.19485111774716032,22.486488026145235,3.7196890638595526,3.7196890638595526,22.486488026145235,22.486488026145235,22.486488026145235,22.486488026145235,22.486488026145235,3.7196890638595526,3.7196890638595526,3.7196890638595526,3.7196890638595526,3.7196890638595526
g8,1569,0.0,0,735,65,549,42,0.08843537414965986,0.07650273224043716,0.19446719135303947,24.70311836706885,0.0,0.0,24.70311836706885,24.70311836706885,24.70311836706885,24.70311836706885,24.70311836706885,0.0,0.0,0.0,0.0,0.0
g9,172,1.0,172,90,16,70,7,0.17777777777777778,0.1,0.18719712667996238,8.765200852556145,2.287259073862211,2.287259073862211,8.765200852556145,8.765200852556145,8.765200852556145,8.765200852556145,8.765200852556145,2.287259073862211,2.287259073862211,2.287259073862211,2.287259073862211,2.287259073862211
g10,2692,0.9999977213009582,2692,1406,245,1094,111,0.17425320056899005,0.10146252285191956,0.1873428526563395,13.61005626640779,3.9491715453573026,3.9491715453573026,13.61005626640779,13.61005626640779,13.61005626640779,13.61005626640779,13.61005626640779,3.9491715453573026,3.9491715453573026,3.9491715453573026,3.9491715453573026,3.9491715453573026
g11,164,0.35069640222651893,58,87,12,57,0,0.13793103448275862,0.0,0.19246019706755807,14.016430576165552,1.594518100078902,1.594518100078902,14.016430576165552,14.016430576165552,14.016430576165552,14.016430576165552,14.016430576165552,1.594518100078902,1.594518100078902,1.594518100078902,1.594518100078902,1.594518100078902
g12,159,0.0,0,83,9,52,0,0.10843373493975904,0.0,0.19485361530468795,21.11665975248106,7.069656146887448,7.069656146887448,21.11665975248106,21.11665975248106,21.11665975248106,21.11665975248106,21.11665975248106,7.069656146887448,7.069656146887448,7.069656146887448,7.069656146887448,7.069656146887448
g13,159,0.0,0,83,9,52,0,0.10843373493975904,0.0,0.19485361530468795,22.92653974295001,2.898013969462893,2.898013969462893,22.92653974295001,22.92653974295001,22.92653974295001,22.92653974295001,22.92653974295001,2.898013969462893,2.898013969462893,2.898013969462893,2.898013969462893,2.898013969462893
g14,197,0.0,0,100,10,66,1,0.1,0.015151515151515152,0.19484896134751334,26.75407499651358,2.48396025803386,2.48396025803386,26.75407499651358,26.75407499651358,26.75407499651358,26.75407499651358,26.75407499651358,2.48396025803386,2.48396025803386,2.48396025803386,2.48396025803386,2.48396025803386
g15,138,0.0,0,68,7,47,2,0.10294117647058823,0.0425531914893617,0.1948333672753328,30.8485047696817,5.862809510514326,5.862809510514326,30.8485047696817,30.8485047696817,30.8485047696817,26.034165586355513,26.034165586355513,5.862809510514326,5.862809510514326,5.862809510514326,5.862809510514326,5.862809510514326
g16,317,0.309798960981363,98,167,36,124,10,0.2155688622754491,0.08064516129032258,0.1852835198712956,12.372920299297245,6.299900798674318,6.299900798674318,12.372920299297245,12.372920299297245,12.372920299297245,12.372920299297245,12.372920299297245,6.299900798674318,6.299900798674318,6.299900798674318,6.299900798674318,6.299900798674318
g17,450,0.9526926356882963,429,240,51,175,11,0.2125,0.06285714285714286,0.18665508592405983,13.65624225488348,2.2053810138664516,2.2053810138664516,13.65624225488348,13.65624225488348,13.65624225488348,13.65624225488348,13.65624225488348,2.2053810138664516,2.2053810138664516,2.2053810138664516,2.2053810138664516,2.2053810138664516
