GEOID,POPULATION,coverage_pct,pop_with_access
51059415200,2982,0.09249329758713137,276
51059420400,3264,0.6813725490196079,2224
51510200703,3752,0.9592651757188498,3603
51510200704,2796,0.9266284896206156,2589
51510200705,2283,1.0,2283
51510201900,1773,0.9898477157360406,1755
51510200802,2712,0.5915129151291513,1603
51510201601,3624,1.0,3625
51510201500,4141,0.6330674401740392,2619
51510201602,2804,1.0,2803
51059420100,4656,1.0,4656
51059420203,2917,0.9777244688142563,2853
51510200403,1639,0.6752293577981652,1104
51059452600,7463,0.3301166063530358,2463
51510200408,2426,0.9769072164948454,2369
51510200404,4243,1.0,4243
51510200407,4002,0.4423894026493377,1770
51510200409,5701,1.0,5701
51510200406,4794,1.0,4794
51059452502,4950,1.0,4950
51059420300,6118,0.06342978584273337,388
51510200701,596,0.5879396984924623,351
51510200600,5192,0.4873625313524986,2526
51510200202,1437,0.0,0
51510200801,3585,0.1741432153803288,625
51510200900,5094,0.2417517674783975,1231
51510200201,3587,0.5227209367159186,1875
51013103000,3605,1.0,3606
51510200110,2037,1.0,2036
51510200111,3593,1.0,3594
51510200305,2388,0.9786342689568496,2336
51510200500,4198,0.9351918036692876,3925
51510200304,3069,0.8559322033898306,2626
51510200108,1531,0.996078431372549,1524
51510200302,5025,0.6434678862596938,3236
51510200109,5545,0.9924269743959611,5504
51510200301,3297,0.22596299666363362,745
51059451900,4665,1.0,4665
51510200104,4105,0.9603019970774477,3943
51059451800,3854,1.0,3853
51510201300,3660,0.845859524460235,3095
51510201400,4286,0.36802800466744456,1577
51510201202,3518,1.0,3518
51510201204,3300,1.0,3299
51510201100,3215,0.8021157436216553,2578
51510201206,5133,1.0,5135
51510201205,2492,1.0,2492
51013103403,1246,1.0,1245
51013103800,4857,0.7322494340399259,3558
51013103700,2642,0.8489208633093526,2242
51510200105,4538,0.847763824630976,3848
51510200102,5046,1.0,5047
51510200106,3290,1.0,3289
51059452801,5112,1.0,5112
51059452802,2877,1.0,2877
51013102803,3112,1.0,3114
51013102804,4365,1.0,4365
51059451502,5090,1.0,5090
51013102200,8110,0.9934632461766156,8055
51013102100,2533,0.47587025316455694,1203
51510201000,3170,0.882612811612496,2797
51013102904,2824,1.0,2824
51013102901,3015,1.0,3017
51013102903,1506,1.0,1505
51013102802,1263,1.0,1261
51013102702,2029,0.5862068965517241,1190
51013103100,6089,0.5945768282662285,3618
51013102600,3666,0.9470812875068194,3472
51013102701,3818,0.9780162261188171,3737
51013103200,5760,0.9529350468912817,5487
51013102302,4437,0.9416403785488959,4179
51013102500,5890,1.0,5889
51013102301,1382,0.6729377713458755,930
51013102400,3653,0.9986312619764577,3648
51013102003,4089,1.0,4090
51013103401,1482,0.9575471698113207,1421
51013101803,4745,1.0,4746
51013101900,3128,0.9776143268308283,3057
51013102002,1471,1.0,1471
51013101405,2083,1.0,2084
51059451501,5307,1.0,5307
51059451400,3734,1.0,3733
51013101300,6998,0.5438420826777285,3802
51013101200,4202,0.8431839847473784,3538
51013102001,3653,1.0,3652
51013101408,451,1.0,451
51610500300,4442,1.0,4442
51013101409,1991,1.0,1991
51013101401,1536,1.0,1536
51013101100,6105,0.5698818897637795,3474
51013101407,3705,1.0,3705
51013101406,2903,1.0,2903
51013101801,3356,1.0,3356
51013101804,2832,1.0,2832
51013101805,4392,1.0,4392
51013101701,4933,1.0,4932
51013101502,3089,1.0,3089
51013101503,1976,0.9974721941354904,1973
51013101602,1776,1.0,1776
51013100600,3598,0.424402445803224,1527
24033801404,5520,0.0,0
24033801500,2624,0.0,0
11001010900,3400,0.05509723040659988,187
11001009810,2750,0.6356363636363637,1748
11001009807,3514,0.05459198180267273,192
11001009803,3153,0.0,0
11001007301,5031,0.018890435474249352,95
11001011002,1760,0.5706984667802385,1005
11001006400,2602,0.47694081475787853,1241
11001011001,2345,1.0,2345
51510202002,2437,0.6672144617912901,1624
51510202001,2430,0.9950637597696421,2419
51510201802,2072,0.982642237222758,2038
51510201805,3345,0.9503885236102809,3180
51510201803,2321,0.950452391210685,2206
51510201804,3087,0.8053756476683938,2487
51510980000,0,0.0,0
51013980200,0,0.0,0
51013103405,3202,1.0,3201
51013103404,1479,0.9350912778904665,1383
51013103602,1317,1.0,1317
51013103601,2740,0.8269441401971522,2265
51013103503,4903,1.0,4902
51013103505,2795,1.0,2796
51013103504,2847,1.0,2847
51013103501,3311,1.0,3310
51013103300,2549,0.8611764705882353,2196
51013980100,0,0.0,0
51013101703,2207,0.6016296966953373,1329
51013101705,3286,0.7509893455098935,2467
11001980000,13,0.0,0
11001010800,6351,0.78794080604534,5005
11001010100,2773,1.0,2774
11001010700,1772,1.0,1769
11001005501,1700,1.0,1699
