GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g1,144,0.0,0,58,4,40,3,0.06896551724137931,0.075,0.1957651449126371,49.4421171756792,7.810258625025007,49.4421171756792,248.7984152533522
g2,1076,0.0,0,407,12,305,17,0.029484029484029485,0.05573770491803279,0.193836414056616,44.869039222483245,16.954603000569634,44.869039222483245,248.83222902475265
g3,643,0.0,0,238,5,183,10,0.02100840336134454,0.0546448087431694,0.13654653564464217,44.140793018152706,20.46199066931437,44.140793018152706,248.92035131850645
g4,2648,0.0,0,964,82,876,70,0.08506224066390042,0.07990867579908675,0.19498589908271272,44.970789245005136,6.361940464632248,44.970789245005136,245.48595039644889
g5,771,0.0,0,289,26,250,20,0.08996539792387544,0.08,0.19612987758084263,46.69727138318498,8.60241250686627,46.69727138318498,245.46508865709004
g6,101,0.0,0,47,6,27,2,0.1276595744680851,0.07407407407407407,0.19612876854571767,41.677227028760804,15.74477549832404,41.677227028760804,245.49946269211657
g7,1700,0.0,0,632,14,484,27,0.022151898734177215,0.05578512396694215,0.1842965231257906,44.95047038389156,20.757770126258546,44.95047038389156,245.58904420069743
g8,275,0.0,0,102,2,78,4,0.0196078431372549,0.05128205128205128,0.18344290361490084,52.87195612328511,28.67925586565209,52.87195612328511,245.7337595193468
g9,12,0.0,0,6,1,3,0,0.16666666666666666,0.0,0.19613546644504468,40.39878117515495,1.789932394782058,40.39878117515495,242.15297553434897
g10,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,41.76120167864242,10.505062589383733,41.76120167864242,242.13176228788308
g11,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.544916462969574,12.612464932532799,38.544916462969574,242.16671546375835
g12,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.09563677860485,12.163185248168082,38.09563677860485,242.25780530697665
g13,1292,0.0,0,485,13,367,21,0.026804123711340205,0.05722070844686648,0.19242067896149234,36.24022320608074,10.307771675643968,36.24022320608074,242.40495437308604
g14,32,0.0,0,12,0,9,1,0.0,0.1111111111111111,0.16826736442566037,29.0795318587563,12.27203108425497,29.0795318587563,243.18127540838256
g15,1,0.0,0,1,0,0,0,0.0,0.0,0.16856154992821445,23.21412508026942,6.482702979089412,23.21412508026942,243.55094876842412
g16,35,0.0,0,15,2,10,1,0.13333333333333333,0.1,0.1955481925730752,38.12592071465909,2.2429272891383443,38.12592071465909,238.8200129586363
g17,101,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.43333922543085,7.177200136172168,38.43333922543085,238.79843615740643
g18,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,36.88285861057358,10.950407080136806,36.88285861057358,238.83398832166907
g19,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,35.469537170972345,9.537085640535572,35.469537170972345,238.9266381409176
g20,90,0.0,0,40,4,24,2,0.1,0.08333333333333333,0.19607612611652347,33.86449690594377,7.9320453755069975,33.86449690594377,239.07630412659896
g21,100,0.0,0,38,1,28,2,0.02631578947368421,0.07142857142857142,0.1937604793121271,45.66504399970976,28.85754322520842,45.66504399970976,239.28285496972015
g22,90,0.0,0,45,6,31,3,0.13333333333333333,0.0967741935483871,0.1773690940294672,21.157242706647654,5.758748473686245,21.157242706647654,239.86584054366816
g23,537,0.0,0,218,13,163,11,0.05963302752293578,0.06748466257668712,0.16989178143439565,19.722502562416686,2.9910804612366815,19.722502562416686,240.24176976323
g24,46,0.0,0,26,4,18,2,0.15384615384615385,0.1111111111111111,0.1705749812233998,22.457487712973144,5.878743066320146,22.457487712973144,240.6735749840208
g25,1120,0.0,0,422,12,323,18,0.02843601895734597,0.05572755417956656,0.16645459178479932,20.60536250166093,10.77236708755471,20.60536250166093,241.16088848133018
g26,551,0.0,0,310,20,157,6,0.06451612903225806,0.03821656050955414,0.1705066455397059,38.249672510587466,13.849420914479055,38.249672510587466,242.3003540554275
g27,2640,0.0,0,1485,90,739,24,0.06060606060606061,0.03247631935047361,0.16830987452175436,42.65828413211882,10.353011043191293,42.65828413211882,242.9515605161939
g28,144,0.0,0,58,5,44,2,0.08620689655172414,0.045454545454545456,0.17157889853720432,37.70949752397033,3.830989948893003,37.70949752397033,235.56712140118864
g29,126,0.0,0,57,6,38,2,0.10526315789473684,0.05263157894736842,0.1947893346277122,34.07400314569721,5.387094539999168,34.07400314569721,235.4870633119499
g30,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,36.66504025442354,9.228547253996153,36.66504025442354,235.4651102781497
g31,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,34.47589072981628,8.543439199379502,34.47589072981628,235.50128231630774
g32,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,30.195195069217085,4.26274353878032,30.195195069217085,235.59554645008473
g33,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,32.600038642129554,6.667587111692785,32.600038642129554,235.74781686040637
