GEOID,POPULATION,coverage_pct,pop_with_access
g1,144,0.0,0
g2,1076,0.0,0
g3,643,0.0,0
g4,2648,0.0,0
g5,771,0.0,0
g6,101,0.0,0
g7,1700,0.0,0
g8,275,0.0,0
g9,12,0.0,0
g10,102,0.0,0
g11,102,0.0,0
g12,102,0.0,0
g13,1292,0.0,0
g14,32,0.0,0
g15,1,0.0,0
g16,35,0.0,0
g17,101,0.0,0
g18,102,0.0,0
g19,102,0.0,0
g20,90,0.0,0
g21,100,0.0,0
g22,90,0.0,0
g23,537,0.0,0
g24,46,0.0,0
g25,1120,0.0,0
g26,551,0.0,0
g27,2640,0.0,0
g28,144,0.0,0
g29,126,0.0,0
g30,102,0.0,0
g31,102,0.0,0
g32,102,0.0,0
g33,102,0.0,0
g34,149,0.0,0
g35,223,0.0,0
g36,139,0.0,0
g37,118,0.030721127130043505,4
g38,119,0.3784514670210362,45
g39,118,0.15386732586780322,18
g40,105,9.300371570461664e-05,0
g41,123,0.0,0
g42,2762,0.0,0
g43,445,0.0,0
g44,99,0.0,0
g45,102,0.0,0
g46,102,0.0,0
g47,102,0.0,0
g48,102,0.0,0
g49,102,0.0,0
g50,102,0.022791450228791744,2
g51,112,0.70733116774005,79
g52,119,1.0,119
g53,119,1.0,119
g54,119,0.6106001124331064,73
g55,455,0.015802082681734195,7
g56,1729,0.0,0
g57,80,0.0,0
g58,143,0.0,0
g59,87,0.0,0
g60,101,0.0,0
g61,102,0.0,0
g62,102,0.0,0
g63,102,0.0,0
g64,102,0.0,0
g65,102,0.6013302500407236,61
g66,103,1.0,103
g67,116,1.0,116
g68,119,1.0,119
g69,119,1.0,119
g70,119,0.6912350899700794,82
g71,242,0.0033977265629859107,1
g72,430,0.0,0
g73,270,0.0,0
g74,229,0.0,0
g75,85,0.0,0
g76,85,0.0,0
g77,90,0.0,0
g78,100,0.0,0
g79,102,0.0,0
g80,102,0.0,0
g81,102,0.0,0
g82,102,0.8766162225343287,89
g83,102,1.0,102
g84,112,1.0,112
g85,119,1.0,119
g86,119,1.0,119
g87,119,1.0,119
g88,119,0.23234149221371656,28
g89,622,0.0,0
g90,813,0.0,0
g91,85,0.0,0
g92,85,0.0,0
g93,85,0.0,0
g94,85,0.0,0
g95,87,0.0,0
g96,100,0.0,0
g97,102,0.0,0
g98,102,0.043757958420847815,4
g99,102,0.9943755117481612,101
g100,102,1.0,102
g101,110,1.0,110
g102,119,1.0,119
g103,119,1.0,119
g104,119,1.0,119
g105,119,0.30965541225671767,37
g106,729,0.0,0
g107,7,0.0,0
g108,625,0.0,0
g109,85,0.30028854394468124,26
g110,85,0.5770619250715244,49
g111,85,0.5980205925435166,51
g112,85,0.25416439336177427,22
g113,83,0.0019160091166270322,0
g114,98,0.0,0
g115,100,0.0,0
g116,102,0.13601474260576593,14
g117,102,1.0,102
g118,102,1.0,102
g119,108,1.0,108
g120,119,1.0,119
g121,119,1.0,119
g122,119,0.9999496677309715,119
g123,119,0.20434218341519675,24
g124,124,0.0,0
g125,809,0.0,0
g126,276,0.30044985193726215,83
g127,85,0.9586995711974843,81
g128,85,1.0,85
g129,85,1.0,85
g130,84,1.0,84
g131,83,0.6531977200201882,54
g132,83,0.0,0
g133,83,0.0,0
g134,86,0.05136986541352082,4
g135,99,0.9775428596297662,97
g136,115,1.0,115
g137,114,1.0,114
g138,121,1.0,121
g139,123,1.0,123
g140,119,0.7687462852932513,91
g141,119,0.0,0
g142,155,0.0,0
g143,762,0.0,0
g144,367,0.765583118874223,281
g145,85,1.0,85
g146,85,1.0,85
g147,85,1.0,85
g148,83,1.0,83
g149,83,0.7952372740898281,66
g150,83,0.0,0
g151,83,0.0,0
g152,83,0.0,0
g153,84,0.33026277897914963,28
g154,129,0.9058460957357354,117
g155,145,1.0,145
g156,158,1.0,158
g157,198,0.8969280839004266,178
g158,138,0.24307733645751486,34
g159,143,0.0,0
g160,198,0.0,0
g161,564,0.0,0
g162,166,0.0,0
g163,46,0.0,0
g164,506,0.9054400420565828,458
g165,85,1.0,85
g166,85,1.0,85
g167,83,1.0,83
g168,83,1.0,83
g169,83,0.8556854049637914,71
g170,83,0.0,0
g171,83,0.0,0
g172,83,0.0,0
g173,87,0.0,0
g174,139,0.01046109439952877,1
g175,150,0.17309723983332514,26
g176,199,0.3207345650076226,64
g177,200,0.03751954761631619,8
g178,166,0.0,0
g179,197,0.0,0
g180,200,0.0,0
g181,200,0.0,0
g182,853,0.0,0
g183,2,0.0,0
g184,553,0.0,0
g185,386,0.0,0
g186,445,0.0002210077159612758,0
g187,85,0.932379787008912,79
g188,85,1.0,85
g189,85,1.0,85
g190,83,1.0,83
g191,83,1.0,83
g192,83,0.9161335358377546,76
g193,83,0.0,0
g194,83,0.0,0
g195,83,0.0,0
g196,83,0.0,0
g197,132,0.0,0
g198,151,0.0,0
g199,184,0.0,0
g200,200,0.0,0
g201,200,0.0,0
g202,200,0.0,0
g203,200,0.0,0
g204,200,0.0,0
g205,635,0.0,0
g206,100,0.0,0
g207,158,0.0,0
g208,2758,0.0,0
g209,3412,0.0,0
g210,121,0.0,0
g211,114,0.014470429219526683,2
g212,120,0.9041070628974699,108
g213,91,1.0,91
g214,85,1.0,85
g215,84,1.0,84
g216,83,1.0,83
g217,83,0.9761985449381695,81
g218,83,0.0003831217721722115,0
g219,83,0.0,0
g220,83,0.0,0
g221,83,0.0,0
g222,91,0.0,0
g223,94,0.0,0
g224,152,0.0,0
g225,191,0.0,0
g226,200,0.0,0
g227,200,0.0,0
g228,200,0.0,0
g229,200,0.0,0
g230,415,0.13908051336019345,58
g231,335,1.0,335
g232,56,0.0,0
g233,139,0.0,0
g234,140,0.0,0
g235,140,0.0,0
g236,140,0.0,0
g237,137,0.0,0
g238,135,0.0,0
g239,113,0.32990195999108257,37
g240,85,1.0,85
g241,85,1.0,85
g242,85,1.0,85
g243,83,1.0,83
g244,83,0.7002367559883663,58
g245,83,0.0023658922304371473,0
g246,83,0.0,0
g247,83,0.0,0
g248,83,0.0,0
g249,83,0.0,0
g250,83,0.0,0
g251,133,0.0,0
