GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g1,144,0.0,0,58,4,40,3,0.06896551724137931,0.075,0.1957651449126371,49.4421171756792,7.810258625025007,49.4421171756792,214.29127239620934
g2,1076,0.0,0,407,12,305,17,0.029484029484029485,0.05573770491803279,0.193836414056616,44.869039222483245,16.954603000569634,44.869039222483245,214.32508616760978
g3,643,0.0,0,238,5,183,10,0.02100840336134454,0.0546448087431694,0.13654653564464217,44.140793018152706,20.46199066931437,44.140793018152706,214.41320846136358
g4,2648,0.0,0,964,82,876,70,0.08506224066390042,0.07990867579908675,0.19498589908271272,44.970789245005136,6.361940464632248,44.970789245005136,210.97880753930602
g5,771,0.0,0,289,26,250,20,0.08996539792387544,0.08,0.19612987758084263,46.69727138318498,8.60241250686627,46.69727138318498,210.95794579994717
g6,101,0.0,0,47,6,27,2,0.1276595744680851,0.07407407407407407,0.19612876854571767,41.677227028760804,15.74477549832404,41.677227028760804,210.9923198349737
g7,1700,0.0,0,632,14,484,27,0.022151898734177215,0.05578512396694215,0.1842965231257906,44.95047038389156,20.757770126258546,44.95047038389156,211.08190134355456
g8,275,0.0,0,102,2,78,4,0.0196078431372549,0.05128205128205128,0.18344290361490084,52.87195612328511,28.67925586565209,52.87195612328511,211.22661666220392
g9,12,0.0,0,6,1,3,0,0.16666666666666666,0.0,0.19613546644504468,40.39878117515495,1.789932394782058,40.39878117515495,207.6458326772061
g10,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,41.76120167864242,10.505062589383733,41.76120167864242,207.6246194307402
g11,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.544916462969574,12.612464932532799,38.544916462969574,207.65957260661548
g12,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.09563677860485,12.163185248168082,38.09563677860485,207.75066244983378
g13,1292,0.0,0,485,13,367,21,0.026804123711340205,0.05722070844686648,0.19242067896149234,36.24022320608074,10.307771675643968,36.24022320608074,207.89781151594318
g14,32,0.0,0,12,0,9,1,0.0,0.1111111111111111,0.16826736442566037,29.0795318587563,12.27203108425497,29.0795318587563,208.6741325512397
g15,1,0.0,0,1,0,0,0,0.0,0.0,0.16856154992821445,23.21412508026942,6.482702979089412,23.21412508026942,209.04380591128125
g16,35,0.5819184530270931,20,15,2,10,1,0.13333333333333333,0.1,0.1955481925730752,38.12592071465909,2.2429272891383443,38.12592071465909,204.31287010149344
g17,101,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.43333922543085,7.177200136172168,38.43333922543085,204.29129330026356
g18,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,36.88285861057358,10.950407080136806,36.88285861057358,204.3268454645262
g19,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,35.469537170972345,9.537085640535572,35.469537170972345,204.41949528377472
g20,90,0.0,0,40,4,24,2,0.1,0.08333333333333333,0.19607612611652347,33.86449690594377,7.9320453755069975,33.86449690594377,204.5691612694561
g21,100,0.0,0,38,1,28,2,0.02631578947368421,0.07142857142857142,0.1937604793121271,45.66504399970976,28.85754322520842,45.66504399970976,204.77571211257728
g22,90,0.0,0,45,6,31,3,0.13333333333333333,0.0967741935483871,0.1773690940294672,21.157242706647654,5.758748473686245,21.157242706647654,205.3586976865253
g23,537,0.0,0,218,13,163,11,0.05963302752293578,0.06748466257668712,0.16989178143439565,19.722502562416686,2.9910804612366815,19.722502562416686,205.73462690608713
g24,46,0.0,0,26,4,18,2,0.15384615384615385,0.1111111111111111,0.1705749812233998,22.457487712973144,5.878743066320146,22.457487712973144,206.16643212687794
g25,1120,0.0,0,422,12,323,18,0.02843601895734597,0.05572755417956656,0.16645459178479932,20.60536250166093,10.77236708755471,20.60536250166093,206.6537456241873
g26,551,0.0,0,310,20,157,6,0.06451612903225806,0.03821656050955414,0.1705066455397059,38.249672510587466,13.849420914479055,38.249672510587466,207.79321119828464
g27,2640,0.0,0,1485,90,739,24,0.06060606060606061,0.03247631935047361,0.16830987452175436,42.65828413211882,10.353011043191293,42.65828413211882,208.44441765905103
g28,144,0.47682856645712335,69,58,5,44,2,0.08620689655172414,0.045454545454545456,0.17157889853720432,37.70949752397033,3.830989948893003,37.70949752397033,201.05997854404578
g29,126,0.19850747411486314,25,57,6,38,2,0.10526315789473684,0.05263157894736842,0.1947893346277122,34.07400314569721,5.387094539999168,34.07400314569721,200.97992045480703
g30,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,36.66504025442354,9.228547253996153,36.66504025442354,200.95796742100683
g31,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,34.47589072981628,8.543439199379502,34.47589072981628,200.99413945916487
g32,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,30.195195069217085,4.26274353878032,30.195195069217085,201.08840359294186
g33,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,32.600038642129554,6.667587111692785,32.600038642129554,201.2406740032635
g34,149,0.0,0,64,6,41,3,0.09375,0.07317073170731707,0.19599629454874334,28.450772876205676,11.536101617427434,28.450772876205676,201.45081241812423
g35,223,0.0,0,84,2,63,4,0.023809523809523808,0.06349206349206349,0.19349585733491567,24.76439812445159,14.373050313843194,24.76439812445159,201.71862873795084
g36,139,0.0,0,61,6,39,3,0.09836065573770492,0.07692307692307693,0.19299928815645,18.651460829993717,8.260113019385324,18.651460829993717,202.04388188995617
g37,118,0.030721127130043505,4,66,11,45,4,0.16666666666666666,0.08888888888888889,0.17079155181700886,17.70829282431204,3.702960743760995,17.70829282431204,202.42628090258637
g38,119,0.3784514670210362,45,66,11,45,4,0.16666666666666666,0.08888888888888889,0.1705749812233998,15.007068588460331,2.5668626433203423,15.007068588460331,202.86548618900494
g39,118,0.15386732586780322,18,65,11,45,4,0.16923076923076924,0.08888888888888889,0.1705749812233998,16.249151789209524,6.416156375103301,16.249151789209524,203.36111102659757
