GEOID,POPULATION,coverage_pct,pop_with_access
g1,144,0.0,0
g2,1076,0.0,0
g3,643,0.0,0
g4,2648,0.0,0
g5,771,0.0,0
g6,101,0.0,0
g7,1700,0.0,0
g8,275,0.0,0
g9,12,0.0,0
g10,102,0.0,0
g11,102,0.0,0
g12,102,0.0,0
g13,1292,0.0,0
g14,32,0.0,0
g15,1,0.0,0
g16,35,0.0,0
g17,101,0.0,0
g18,102,0.0,0
g19,102,0.0,0
g20,90,0.0,0
g21,100,0.0,0
g22,90,0.0037491168169652873,0
g23,537,0.5534959538370211,297
g24,46,0.9593032945439307,44
g25,1120,0.17020251949010776,191
g26,551,0.0,0
g27,2640,0.0,0
g28,144,0.0,0
g29,126,0.0,0
g30,102,0.0,0
g31,102,0.0,0
g32,102,0.0,0
g33,102,0.0,0
g34,149,0.0,0
g35,223,0.0,0
g36,139,0.6511138816196764,91
g37,118,1.0,118
g38,119,1.0,119
g39,118,0.9684747321393543,114
g40,105,0.697901738607823,73
g41,123,0.08803066331671211,11
g42,2762,0.0,0
g43,445,0.0,0
g44,99,0.0,0
g45,102,0.0,0
g46,102,0.0,0
g47,102,0.0,0
g48,102,0.0,0
g49,102,0.3269917021226447,33
g50,102,0.9966636205635149,102
g51,112,1.0,112
g52,119,1.0,119
g53,119,1.0,119
g54,119,1.0,119
g55,455,0.8274659590031725,376
g56,1729,0.3043322639814949,526
g57,80,0.0,0
g58,143,0.0,0
g59,87,0.0,0
g60,101,0.0,0
g61,102,0.0,0
g62,102,0.0,0
g63,102,0.02085214739795807,2
g64,102,0.9470308252310159,97
g65,102,1.0,102
g66,103,1.0,103
g67,116,1.0,116
g68,119,1.0,119
g69,119,1.0,119
g70,119,1.0,119
g71,242,0.829075109243399,201
g72,430,0.64144103966705,276
g73,270,0.0,0
g74,229,0.0,0
g75,85,0.0,0
g76,85,0.009566176140447852,1
g77,90,0.009913321801826852,1
g78,100,0.0,0
g79,102,0.0,0
g80,102,0.11975264529883861,12
g81,102,1.0,102
g82,102,1.0,102
g83,102,1.0,102
g84,112,1.0,112
g85,119,1.0,119
g86,119,1.0,119
g87,119,1.0,119
g88,119,1.0,119
g89,622,0.7184774019445705,447
g90,813,0.18410517014138075,150
g91,85,0.6438920809912605,55
g92,85,0.8687325861084468,74
g93,85,0.9792466253183041,83
g94,85,0.8331657027198717,71
g95,87,0.2695106076820576,23
g96,100,0.0,0
g97,102,0.22412166357785462,23
g98,102,1.0,102
g99,102,1.0,102
g100,102,1.0,102
g101,110,1.0,110
g102,119,1.0,119
g103,119,1.0,119
g104,119,1.0,119
g105,119,1.0,119
g106,729,0.3723911900408526,271
g107,7,0.0,0
g108,625,0.7790416309243444,487
g109,85,1.0,85
g110,85,1.0,85
g111,85,1.0,85
g112,85,1.0,85
g113,83,0.9535535843902594,79
g114,98,0.061792931712354046,6
g115,100,0.3170743646228995,32
g116,102,1.0,102
g117,102,1.0,102
g118,102,1.0,102
g119,108,1.0,108
g120,119,1.0,119
g121,119,1.0,119
g122,119,1.0,119
g123,119,1.0,119
g124,124,0.613313882679071,76
g125,809,0.826640313950135,669
g126,276,1.0,276
g127,85,1.0,85
g128,85,1.0,85
g129,85,1.0,85
g130,84,1.0,84
g131,83,1.0,83
g132,83,0.44611698148958384,37
g133,83,0.13566000630874017,11
g134,86,0.9994420551092866,86
g135,99,1.0,99
g136,115,1.0,115
g137,114,1.0,114
g138,121,1.0,121
g139,123,1.0,123
g140,119,1.0,119
g141,119,0.9413416983299118,112
g142,155,0.851592854094229,132
g143,762,1.0,762
g144,367,1.0,367
g145,85,1.0,85
g146,85,1.0,85
g147,85,1.0,85
g148,83,1.0,83
g149,83,1.0,83
g150,83,0.8479046824995269,70
g151,83,0.0,0
g152,83,0.817276447372511,68
g153,84,1.0,84
g154,129,1.0,129
g155,145,1.0,145
g156,158,1.0,158
g157,198,1.0,198
g158,138,1.0,138
g159,143,0.43886449887230994,63
g160,198,0.2058858221058211,41
g161,564,0.9437250051339166,532
g162,166,1.0,166
g163,46,1.0,46
g164,506,1.0,506
g165,85,1.0,85
g166,85,1.0,85
g167,83,1.0,83
g168,83,1.0,83
g169,83,1.0,83
g170,83,0.9964136321084145,83
g171,83,0.048695329003846176,4
g172,83,0.22215724544479856,18
g173,87,0.7164148652163386,62
g174,139,0.9850494153790662,137
g175,150,1.0,150
g176,199,1.0,199
g177,200,1.0,200
g178,166,0.8274581573775127,137
g179,197,0.016909096008478234,3
g180,200,0.0,0
g181,200,0.5417479015570134,108
g182,853,1.0,853
g183,2,0.0,0
g184,553,0.0,0
g185,386,0.2845841729104529,110
g186,445,1.0,445
g187,85,1.0,85
g188,85,1.0,85
g189,85,1.0,85
g190,83,1.0,83
g191,83,1.0,83
g192,83,1.0,83
g193,83,1.0,83
g194,83,0.20253283003158867,17
g195,83,0.0,0
g196,83,0.0,0
g197,132,0.06770014579628834,9
g198,151,0.34530866672017146,52
g199,184,0.9122870949877201,168
g200,200,0.9997266082032232,200
g201,200,0.1927324960030106,39
g202,200,0.0,0
g203,200,0.0,0
g204,200,0.16614481706716197,33
g205,635,0.9996810956959736,635
g206,100,0.0,0
g207,158,0.0,0
g208,2758,0.0,0
g209,3412,0.0,0
g210,121,0.3688055063153126,45
g211,114,1.0,114
g212,120,1.0,120
g213,91,1.0,91
g214,85,1.0,85
g215,84,1.0,84
g216,83,1.0,83
g217,83,1.0,83
g218,83,1.0,83
g219,83,0.35995669895224275,30
g220,83,0.0,0
g221,83,0.0,0
g222,91,0.0,0
g223,94,0.0,0
g224,152,0.36271359319948776,55
g225,191,0.6191866325862447,118
g226,200,0.0,0
g227,200,0.0,0
g228,200,0.0,0
g229,200,0.7184311282088242,144
g230,415,1.0,415
g231,335,1.0,335
g232,56,0.0,0
g233,139,0.0,0
g234,140,0.0,0
g235,140,0.0,0
g236,140,0.0,0
g237,137,0.030476597601507754,4
g238,135,0.8507252766012559,115
g239,113,1.0,113
g240,85,1.0,85
g241,85,1.0,85
g242,85,1.0,85
g243,83,1.0,83
g244,83,1.0,83
g245,83,1.0,83
