GEOID,POPULATION,coverage_pct,pop_with_access
02021,23615,0.0,0
02186,27590,0.0,0
02136,36417,0.017064304771226467,621
02126,29807,0.06776792265800413,2020
02131,34048,0.8695346437805912,29606
02121,29570,0.02323410528577886,687
02130,42021,0.7886002010001909,33138
02119,27426,0.726396127632056,19922
02120,15210,1.0,15210
02115,29134,0.9965634458655683,29034
02026,25316,0.0,0
02132,28263,0.30234681075314257,8545
02492,20679,0.0,0
02494,10498,0.0,0
02481,16121,0.44290819237405354,7140
02464,3706,0.02980590658139069,110
02459,18631,0.18910588155885658,3523
02461,6923,0.4113152929524581,2848
02467,22982,0.15953829661146732,3667
02445,20520,0.08686511390437227,1782
02045,10478,0.0,0
02124,57128,0.00010130201626357961,6
02171,18227,0.0,0
02122,24874,0.08892177233045413,2212
02125,34725,0.6177988000993775,21453
02127,36941,0.6424829242191409,23734
02118,28892,0.9987023850425382,28855
02210,4538,0.43885005862215704,1992
02111,7949,0.9999999999999999,7949
02110,2340,0.919391947609876,2151
02468,5522,0.8758103896883268,4836
02462,1222,0.1487154354214353,182
02466,9292,0.685404366542272,6369
02465,11967,0.22875442251279374,2738
02135,45496,0.8691711591526518,39544
02460,9885,0.07430106767184834,734
02458,12050,0.031512053832124416,380
02493,12103,0.0,0
02453,29289,0.0,0
02472,35951,0.893682817124461,32129
02446,29711,0.5971849087990239,17743
02215,26243,0.9307488092560908,24426
02199,1435,1.0,1435
02116,23007,0.9996830513400181,23000
02134,19552,0.9243169057379241,18072
02142,4074,0.9998760003137765,4073
02139,39702,0.9264810690582604,36783
02163,2343,0.9999999999999994,2343
02141,14437,0.9891965655319139,14281
02138,39139,0.8700094718785563,34051
02108,4520,0.9999999999999999,4520
02203,24,0.9999999999999997,24
02114,13260,0.9999405584757087,13259
02109,3639,0.7824715203569058,2847
02113,7339,1.0,7339
02152,18558,0.0,0
02128,47804,0.0,0
02129,20504,0.6349894420113896,13020
02150,39862,0.0,0
02149,46275,0.0,0
02143,25102,0.7378325819280944,18521
02145,28372,0.0,0
02144,25009,0.8014843147443786,20044
02140,20954,0.7825767521333471,16398
02478,26123,0.09890057825982058,2584
02474,27853,0.23888251120191037,6654
02151,53416,0.0,0
