GEOID,POPULATION,coverage_pct,pop_with_access
10307,15053,0.0,0
08861,53899,0.0,0
10309,33896,0.0,0
10312,61114,0.0,0
07077,2708,0.0,0
10308,28901,0.0,0
07064,3973,0.0,0
10306,54318,0.0,0
07008,23501,0.0,0
10314,89938,0.0,0
10305,42968,0.0,0
10311,0,0.0,0
10304,42133,0.0,0
07036,43908,0.0,0
10301,38001,0.0,0
10303,27164,0.0,0
10302,17942,0.0,0
10310,24168,0.0,0
07202,41264,0.0,0
07206,27520,0.0,0
11224,45587,0.31401329798517696,14315
11214,90372,0.3795889088366495,34304
11425,0,0.0,0
11228,43878,0.03905149380658242,1714
11209,68368,0.34245552977497057,23413
11204,75840,0.4770664830459762,36181
11219,87812,0.6695920410525852,58798
11220,90657,0.4913374320368885,44543
11232,26501,0.26447207631444647,7009
11215,69995,0.5324303753058163,37267
11223,80500,0.24632325229645352,19829
11230,87188,0.18133153275320435,15810
11218,73280,0.6765242134799876,49576
11226,96332,0.4753126178822674,45788
11225,56072,0.4917267717717625,27572
11238,55102,0.7572479575715146,41726
11217,42461,0.9615081813090394,40827
11205,47866,0.6294789206340812,30131
10009,58267,0.537980251386291,31346
10016,52912,0.979364682323646,51820
11231,37796,0.5791394049448044,21889
11201,64798,0.8192519800793301,53086
10004,3310,0.27488418694897043,910
10005,8664,0.9999999999999997,8664
10280,9372,0.8831095807284532,8277
10271,0,0.9999999999999999,0
10038,24205,0.8002621438661991,19370
10006,3260,1.0,3260
10279,96,1.0,96
10007,7566,0.7471626171530626,5653
07002,65112,0.0,0
07201,27369,0.0,0
07208,32319,0.0,0
07205,21955,0.0,0
07305,66595,0.0,0
07114,11947,0.0,0
07112,24376,0.0,0
07304,43554,0.0,0
07105,51097,0.0,0
07108,24777,0.0,0
10278,0,0.9150806857854609,0
10282,6086,0.8503850523651268,5175
10002,74363,0.7503151155579898,55796
07311,675,0.0,0
07302,47339,0.0,0
10013,28657,0.8743615829521392,25057
10012,23034,0.9985240288450655,23000
07310,13051,0.0,0
10003,54671,0.9816447172170311,53667
10014,29071,0.7783971819819406,22629
07111,54220,0.0,0
07040,25029,0.0,0
07102,13581,0.0,0
07306,51378,0.0,0
07103,33548,0.0,0
07106,33688,0.0,0
07029,20990,0.0,0
07079,16795,0.0,0
07032,41147,0.0,0
07018,28680,0.0,0
11109,6127,0.9828421707124105,6022
10168,0,1.0,0
10174,0,1.0,0
10165,0,1.0,0
10017,16065,0.8517978789721024,13684
10170,0,0.9666855926369378,0
10173,0,1.0,0
10169,0,0.9873591250172744,0
10110,0,1.0,0
10167,0,0.9572225834779622,0
10010,34763,0.9800485943560113,34069
10011,50228,0.9858888939980225,49519
07030,53283,0.0,0
10119,0,0.9999999999999998,0
10199,0,1.0,0
10001,25026,0.9593182307907225,24008
07307,40012,0.0,0
10018,8135,0.7387885377423442,6010
10036,28231,0.24858599756946087,7018
07087,68121,0.0,0
11697,3527,0.0,0
11694,21258,0.0,0
11236,98821,0.1764261018766333,17435
11239,12832,0.19859325234245764,2548
11414,27672,0.1331207526754965,3684
11208,102626,0.25173286165376174,25834
11207,90867,0.12697722134170847,11538
11417,31156,0.26939034072845164,8393
11416,26087,0.1453544569036844,3792
11419,47955,0.5577321314606362,26746
11235,76921,0.2811049149210086,21623
11229,81909,0.39649410082304043,32476
11234,90372,0.005550164748748397,502
11210,62423,0.3362966194195273,20993
11203,77589,0.1383234674717613,10732
11212,74037,0.18952866287946896,14032
11213,67382,0.6334060748029822,42680
11233,79796,0.3558237746509861,28393
11216,59567,0.6436553276612389,38341
11221,85582,0.4970376783603755,42537
11692,22394,0.0,0
11693,13029,0.047949779905627855,625
11691,68454,0.0,0
11559,8265,0.0,0
11096,8155,0.0,0
11430,220,0.0,0
11581,21847,0.0,0
11422,32786,0.2486854155468242,8153
11413,41810,0.20338333978546694,8503
11420,47266,0.20360272557248463,9623
11436,18955,0.31099362035828737,5895
11434,62590,0.0678528130981163,4247
11580,41930,0.0,0
11411,20473,0.5802120739329801,11879
11412,37987,0.45288420539508273,17204
11433,36929,0.6409814824268024,23671
11435,59392,0.7409037475925137,44004
11451,0,1.0,0
11003,44712,4.554973985625411e-07,0
11429,27808,0.23169302645138665,6443
11421,39654,0.32841699728529633,13023
11385,105025,0.43686617957253215,45882
11418,37666,0.031193978987810754,1175
11415,18464,0.002194560303665871,41
11424,40,0.0,0
11379,37780,0.17388297087178675,6569
11375,72615,0.3405422563725824,24728
11374,43173,0.8018053415799593,34616
11367,40141,0.2392472097875787,9604
11373,96495,0.8182103239402175,78953
11206,87599,0.6129706387297559,53696
11237,46772,0.46281521681536103,21647
11211,104561,0.4461252470913924,46647
11378,39033,0.4639628309861355,18110
11222,36710,0.4022734628503468,14767
11104,25037,0.89175641922518,22327
11101,32537,0.46627330303710074,15171
11377,82021,0.395905977175304,32473
11106,37094,0.43734846125532845,16223
11103,35419,0.9571029074559323,33900
11432,64282,0.5378449957858762,34574
11423,29532,0.4040932741047045,11934
11428,19830,0.14303134119805583,2836
11001,26542,0.19237624243240328,5106
11366,14109,0.0038501732552756163,54
11427,25096,0.08691616633390883,2181
11426,20222,0.225597157626703,4562
11365,43730,0.08087934879815808,3537
11364,35866,0.4479526737450026,16066
11004,15297,0.05564858265547422,851
11040,41523,0.0,0
11362,18694,0.0021347135322732137,40
11005,2249,0.0,0
11042,475,0.0,0
11358,36665,0.0,0
11361,28531,0.12882938952519146,3676
11020,6325,0.0,0
11363,6834,0.0,0
11360,18892,0.0,0
11021,18181,0.0,0
11368,108661,0.2135809421931439,23208
11372,63107,0.9798839439361781,61838
11355,81358,0.4814462671315998,39170
11369,30693,0.3181681435468424,9766
11354,52351,0.32030459109606096,16768
11371,0,0.0,0
11370,29366,0.27044066558288554,7942
11351,0,0.0,0
11356,24178,0.0,0
10474,11579,0.03461612642511663,401
10162,1240,0.0,0
11102,28359,0.5096978185204151,14455
11105,37452,0.48754338917977014,18259
10128,57993,0.9269675616655881,53758
10029,74617,0.7268996324531338,54239
10035,36999,0.19892731565804095,7360
10454,37807,0.034574993915272516,1307
10037,19177,0.5114513741248673,9808
10455,40300,0.5986819938076204,24127
