GEOID,POPULATION,coverage_pct,pop_with_access
10307,15053,0.0,0
08861,53899,0.0,0
10309,33896,0.0,0
10312,61114,0.0,0
07077,2708,0.0,0
10308,28901,0.0,0
07064,3973,0.0,0
10306,54318,0.0,0
07008,23501,0.0,0
10314,89938,0.0,0
10305,42968,0.0,0
10311,0,0.0,0
10304,42133,0.0,0
07036,43908,0.0,0
10301,38001,0.0,0
10303,27164,0.0,0
10302,17942,0.0,0
10310,24168,0.0,0
07202,41264,0.0,0
07206,27520,0.0,0
11224,45587,0.356333935012451,16244
11214,90372,0.4004656608021049,36191
11425,0,0.0,0
11228,43878,0.1629171738388628,7148
11209,68368,0.4117921687195099,28153
11204,75840,0.49823819305499684,37786
11219,87812,0.7327353916481409,64343
11220,90657,0.5525555932016666,50093
11232,26501,0.2734402673987393,7246
11215,69995,0.5679937155890257,39757
11223,80500,0.3445549480141721,27737
11230,87188,0.2775729266859688,24201
11218,73280,0.7096723762885598,52005
11226,96332,0.47984572696552574,46224
11225,56072,0.5261656102583698,29503
11238,55102,0.801254279604854,44151
11217,42461,0.9630567549570225,40892
11205,47866,0.6433709348869272,30796
10009,58267,0.537980251386291,31346
10016,52912,0.979364682323646,51820
11231,37796,0.6286464369674258,23760
11201,64798,0.8355764614328618,54144
10004,3310,0.3099917177924914,1026
10005,8664,0.9999999999999997,8664
10280,9372,0.8831095807284532,8277
10271,0,0.9999999999999999,0
10038,24205,0.8002621438661991,19370
10006,3260,1.0,3260
10279,96,1.0,96
10007,7566,0.7471626171530626,5653
07002,65112,0.0,0
07201,27369,0.0,0
07208,32319,0.0,0
07205,21955,0.0,0
07305,66595,0.0,0
07114,11947,0.0,0
07112,24376,0.0,0
07304,43554,0.0,0
07105,51097,0.0,0
07108,24777,0.0,0
10278,0,0.9150806857854609,0
10282,6086,0.8503850523651268,5175
10002,74363,0.7503151155579898,55796
07311,675,0.0,0
07302,47339,0.0,0
10013,28657,0.8847607624173649,25355
10012,23034,0.9985240288450655,23000
07310,13051,0.0,0
10003,54671,0.986401620733854,53928
10014,29071,0.7783971819819406,22629
07111,54220,0.0,0
07040,25029,0.0,0
07102,13581,0.0,0
07306,51378,0.0,0
07103,33548,0.0,0
07106,33688,0.0,0
07029,20990,0.0,0
07079,16795,0.0,0
07032,41147,0.0,0
07018,28680,0.0,0
11109,6127,0.9828421707124105,6022
10168,0,1.0,0
10174,0,1.0,0
10165,0,1.0,0
10017,16065,0.8572917266384573,13772
10170,0,0.9999999999999999,0
10173,0,1.0,0
10169,0,1.0,0
10110,0,1.0,0
10167,0,1.0,0
10010,34763,0.9812553385567595,34111
10011,50228,0.9858888939980225,49519
07030,53283,0.0,0
10119,0,0.9999999999999998,0
10199,0,1.0,0
10001,25026,0.9593182307907225,24008
07307,40012,0.0,0
10018,8135,0.8146298193684824,6627
10036,28231,0.38813055725772666,10957
07087,68121,0.0,0
11697,3527,0.0,0
11694,21258,0.0,0
11236,98821,0.23223697322413986,22950
11239,12832,0.20061136128359433,2574
11414,27672,0.1387271944419358,3839
11208,102626,0.34116231297534616,35012
11207,90867,0.2692155100517298,24463
11417,31156,0.2847723192151913,8872
11416,26087,0.2154699496128049,5621
11419,47955,0.6899579070053428,33087
11235,76921,0.33993131983555624,26148
11229,81909,0.42955396942136076,35184
11234,90372,0.04436468494165473,4009
11210,62423,0.3715284647815405,23192
11203,77589,0.3376040578913774,26194
11212,74037,0.3533331822243676,26160
11213,67382,0.691967568029553,46626
11233,79796,0.5696740709865524,45458
11216,59567,0.6738588246525862,40140
11221,85582,0.5317322652938286,45507
11692,22394,0.0,0
11693,13029,0.06398685932054515,834
11691,68454,0.0,0
11559,8265,0.0,0
11096,8155,0.0,0
11430,220,0.00016818448531248924,0
11581,21847,0.0,0
11422,32786,0.2486854155468242,8153
11413,41810,0.23026421954877685,9627
11420,47266,0.2617042676904514,12370
11436,18955,0.3200278515882561,6066
11434,62590,0.09582980268065615,5998
11580,41930,0.0,0
11411,20473,0.6164706303877928,12621
11412,37987,0.6014531928478198,22847
11433,36929,0.6428383560912437,23739
11435,59392,0.769726905919221,45716
11451,0,1.0,0
11003,44712,4.554973985625411e-07,0
11429,27808,0.25530570508265155,7100
11421,39654,0.4342994535991474,17222
11385,105025,0.44293999888674934,46520
11418,37666,0.19210194565293423,7236
11415,18464,0.14647751242128165,2705
11424,40,0.12671046129386332,5
11379,37780,0.23341984193098575,8819
11375,72615,0.47471149277273383,34471
11374,43173,0.8126836115670585,35086
11367,40141,0.24218833546233595,9722
11373,96495,0.8237220912597911,79485
11206,87599,0.6134433741902702,53737
11237,46772,0.5667908034647227,26510
11211,104561,0.502981946944304,52592
11378,39033,0.5130753006898495,20027
11222,36710,0.5437395449307698,19961
11104,25037,0.8917564192251892,22327
11101,32537,0.5295922042632535,17231
11377,82021,0.4972918523376996,40788
11106,37094,0.4466996407759897,16570
11103,35419,0.9571029074559323,33900
11432,64282,0.5792369396967274,37235
11423,29532,0.4040932741047045,11934
11428,19830,0.22427757394954087,4447
11001,26542,0.19249029755142158,5109
11366,14109,0.05257208972454606,742
11427,25096,0.08877551788979353,2228
11426,20222,0.2827028546915895,5717
11365,43730,0.14635050887370554,6400
11364,35866,0.4479526737450026,16066
11004,15297,0.05564858265547422,851
11040,41523,0.0,0
11362,18694,0.023455759471881155,438
11005,2249,0.0,0
11042,475,0.0,0
11358,36665,0.2175058067902954,7975
11361,28531,0.2163661471832105,6173
11020,6325,0.0,0
11363,6834,0.032403308949414476,221
11360,18892,0.0,0
11021,18181,0.0,0
11368,108661,0.31083054680499206,33775
11372,63107,0.9931233381839175,62673
11355,81358,0.5628569740119216,45793
11369,30693,0.3270351236131748,10038
11354,52351,0.3206084714925599,16784
11371,0,0.0,0
11370,29366,0.27044066558288554,7942
11351,0,0.0,0
11356,24178,0.0,0
10474,11579,0.09932098154248402,1150
10162,1240,0.0034094757977228846,4
11102,28359,0.6124934465163784,17370
11105,37452,0.5294962921857527,19831
10128,57993,0.9269675616655881,53758
10029,74617,0.7268996324531338,54239
10035,36999,0.2247816412281458,8317
10454,37807,0.09152557094631461,3460
10037,19177,0.5114513741248673,9808
