GEOID,POPULATION,coverage_pct,pop_with_access
10307,15053,0.0,0
08861,53899,0.0,0
10309,33896,0.0,0
10312,61114,0.0,0
07077,2708,0.0,0
10308,28901,0.0,0
07064,3973,0.0,0
10306,54318,0.0,0
07008,23501,0.0,0
10314,89938,0.0,0
10305,42968,0.0,0
10311,0,0.0,0
10304,42133,0.0,0
07036,43908,0.0,0
10301,38001,0.0,0
10303,27164,0.0,0
10302,17942,0.0,0
10310,24168,0.0,0
07202,41264,0.0,0
07206,27520,0.0,0
11224,45587,0.7836137387478929,35723
11214,90372,0.6435240348270972,58157
11425,0,0.017084610456337645,0
11228,43878,0.4381222127736855,19224
11209,68368,0.8597664130474468,58781
11204,75840,0.9999999999999986,75840
11219,87812,0.972791349381463,85423
11220,90657,0.9445720779841559,85632
11232,26501,0.8978093158076668,23793
11215,69995,0.9762438421691336,68332
11223,80500,0.9974514410796176,80295
11230,87188,0.8039357383137851,70094
11218,73280,0.9869978009252035,72327
11226,96332,0.1814334556814148,17478
11225,56072,0.9241714644814267,51820
11238,55102,1.0,55102
11217,42461,0.9999999999999996,42461
11205,47866,0.9710240966146444,46479
10009,58267,0.8875796971115858,51717
10016,52912,0.9996280930353407,52892
11231,37796,0.29112335091885405,11003
11201,64798,0.9548579714819875,61873
10004,3310,0.36799449824664643,1218
10005,8664,0.9999999999999997,8664
10280,9372,0.8895456960622389,8337
10271,0,0.9999999999999999,0
10038,24205,0.9970816586627742,24134
10006,3260,1.0,3260
10279,96,1.0,96
10007,7566,0.9999999999999999,7566
07002,65112,0.0,0
07201,27369,0.0,0
07208,32319,0.0,0
07205,21955,0.0,0
07305,66595,0.0,0
07114,11947,0.0,0
07112,24376,0.0,0
07304,43554,0.0,0
07105,51097,0.0,0
07108,24777,0.0,0
10278,0,0.9999999999999998,0
10282,6086,0.879066379334064,5350
10002,74363,0.9652047953172531,71776
07311,675,0.0,0
07302,47339,0.0,0
10013,28657,0.9997190476559308,28649
10012,23034,0.9999999999999997,23034
07310,13051,0.0,0
10003,54671,1.0,54671
10014,29071,0.9951983698496896,28931
07111,54220,0.0,0
07040,25029,0.0,0
07102,13581,0.0,0
07306,51378,0.0,0
07103,33548,0.0,0
07106,33688,0.0,0
07029,20990,0.0,0
07079,16795,0.0,0
07032,41147,0.0,0
07018,28680,0.0,0
11109,6127,0.9873084165419423,6049
10168,0,1.0,0
10174,0,1.0,0
10165,0,1.0,0
10017,16065,0.9750358035533949,15664
10170,0,0.9999999999999999,0
10173,0,1.0,0
10169,0,1.0,0
10110,0,1.0,0
10167,0,1.0,0
10010,34763,1.0,34763
10011,50228,0.9947562362916543,49965
07030,53283,0.0,0
10119,0,0.9999999999999998,0
10199,0,1.0,0
10001,25026,0.9999999999999994,25026
07307,40012,0.0,0
10018,8135,0.9867913705430705,8028
10036,28231,1.0,28231
07087,68121,0.0,0
11697,3527,0.0,0
11694,21258,0.0,0
11236,98821,0.08846288926431622,8742
11239,12832,0.0020181089411366775,26
11414,27672,0.008365614420689364,231
11208,102626,0.46735056321262036,47962
11207,90867,0.2934211121697579,26662
11417,31156,0.6217921208213851,19373
11416,26087,0.8893585988852617,23201
11419,47955,0.999999999999999,47955
11235,76921,0.8335973162839483,64121
11229,81909,0.8994893699311299,73676
11234,90372,0.26823318038737687,24241
11210,62423,0.28088388642995,17534
11203,77589,0.4525435069961967,35112
11212,74037,0.3046414753162832,22555
11213,67382,0.99244242641089,66873
11233,79796,0.6672168428828545,53241
11216,59567,1.0,59567
11221,85582,0.9788301544913819,83770
11692,22394,0.0,0
11693,13029,0.1784727322495187,2325
11691,68454,0.0,0
11559,8265,0.0,0
11096,8155,0.0,0
11430,220,0.04900701105516529,11
11581,21847,0.0,0
11422,32786,0.6556408623730103,21496
11413,41810,0.537534220492331,22474
11420,47266,0.932977280726481,44098
11436,18955,0.9329654181223507,17684
11434,62590,0.31152782798062445,19499
11580,41930,0.49859552404955665,20906
11411,20473,0.9738606555353148,19938
11412,37987,0.8263480048072549,31390
11433,36929,0.905816916699417,33451
11435,59392,0.9999421423592926,59389
11451,0,1.0,0
11003,44712,0.08125943219675352,3633
11429,27808,0.43983572919498737,12231
11421,39654,0.9663774091004268,38321
11385,105025,0.8956386288820484,94064
11418,37666,0.902401457938438,33990
11415,18464,1.0,18464
11424,40,1.0,40
11379,37780,0.6074061260908848,22948
11375,72615,0.9826452771587604,71355
11374,43173,0.9017897185563607,38933
11367,40141,0.33160042859217786,13311
11373,96495,0.9999999999999989,96495
11206,87599,0.9999728501202445,87597
11237,46772,0.8848768045687807,41387
11211,104561,0.8583255007973511,89747
11378,39033,0.6547922089314131,25559
11222,36710,0.969603451524732,35594
11104,25037,0.9999999999999998,25037
11101,32537,0.9448016418657859,30741
11377,82021,0.9764239385819978,80087
11106,37094,0.9842419737215536,36509
11103,35419,0.991140824786292,35105
11432,64282,0.9385397263657903,60331
11423,29532,0.9700647335386663,28648
11428,19830,0.7364009460553961,14603
11001,26542,0.9803383052508915,26020
11366,14109,0.7494442424263589,10574
11427,25096,0.9075709226858119,22776
11426,20222,0.8230368394980275,16643
11365,43730,0.9495992597763488,41526
11364,35866,0.5060537770335991,18150
11004,15297,0.7550948220605335,11551
11040,41523,0.10651117365976334,4423
11362,18694,0.06749174250483589,1262
11005,2249,0.0,0
11042,475,0.0,0
11358,36665,0.3054851062536802,11201
11361,28531,0.5139525083406745,14664
11020,6325,0.0,0
11363,6834,0.032403308949414476,221
11360,18892,0.0,0
11021,18181,0.0,0
11368,108661,0.9050297918998533,98341
11372,63107,0.9999999999999999,63107
11355,81358,0.9545648782123032,77661
11369,30693,0.9812730779786427,30118
11354,52351,0.5192745579614064,27185
11371,0,0.20868620583183195,0
11370,29366,0.5654751872958335,16606
11351,0,0.0,0
11356,24178,0.009342401468077148,226
10474,11579,0.07566801810774441,876
10162,1240,1.0,1240
11102,28359,0.9431204862768873,26746
11105,37452,0.563132956697818,21090
10128,57993,0.9793792667437863,56797
10029,74617,0.9981019151117082,74475
10035,36999,0.4245213213100684,15707
10454,37807,0.685792236327487,25928
10037,19177,0.9999999999999997,19177
10455,40300,0.815968443029042,32884
10030,30996,1.0,30996
