"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"0500000US25025","Suffolk County, Massachusetts","001","Total population","792647","*****",
"1400000US25025000101","Census Tract 1.01; Suffolk County; Massachusetts","001","Total population","1824","331",
"1400000US25025000102","Census Tract 1.02; Suffolk County; Massachusetts","001","Total population","3706","750",
"1400000US25025000201","Census Tract 2.01; Suffolk County; Massachusetts","001","Total population","4309","684",
"1400000US25025000202","Census Tract 2.02; Suffolk County; Massachusetts","001","Total population","4094","475",
"1400000US25025000301","Census Tract 3.01; Suffolk County; Massachusetts","001","Total population","2827","269",
"1400000US25025000302","Census Tract 3.02; Suffolk County; Massachusetts","001","Total population","3349","600",
"1400000US25025000401","Census Tract 4.01; Suffolk County; Massachusetts","001","Total population","5446","583",
"1400000US25025000402","Census Tract 4.02; Suffolk County; Massachusetts","001","Total population","3810","840",
"1400000US25025000502","Census Tract 5.02; Suffolk County; Massachusetts","001","Total population","5528","745",
"1400000US25025000503","Census Tract 5.03; Suffolk County; Massachusetts","001","Total population","2163","370",
"1400000US25025000505","Census Tract 5.05; Suffolk County; Massachusetts","001","Total population","2178","304",
"1400000US25025000506","Census Tract 5.06; Suffolk County; Massachusetts","001","Total population","2368","423",
"1400000US25025000601","Census Tract 6.01; Suffolk County; Massachusetts","001","Total population","3794","451",
"1400000US25025000603","Census Tract 6.03; Suffolk County; Massachusetts","001","Total population","1668","605",
"1400000US25025000604","Census Tract 6.04; Suffolk County; Massachusetts","001","Total population","2473","391",
"1400000US25025000701","Census Tract 7.01; Suffolk County; Massachusetts","001","Total population","4363","808",
"1400000US25025000703","Census Tract 7.03; Suffolk County; Massachusetts","001","Total population","1707","239",
"1400000US25025000704","Census Tract 7.04; Suffolk County; Massachusetts","001","Total population","4216","449",
"1400000US25025000804","Census Tract 8.04; Suffolk County; Massachusetts","001","Total population","3425","750",
"1400000US25025000805","Census Tract 8.05; Suffolk County; Massachusetts","001","Total population","3086","362",
"1400000US25025000806","Census Tract 8.06; Suffolk County; Massachusetts","001","Total population","2612","350",
"1400000US25025000807","Census Tract 8.07; Suffolk County; Massachusetts","001","Total population","3657","773",
"1400000US25025010103","Census Tract 101.03; Suffolk County; Massachusetts","001","Total population","3678","561",
"1400000US25025010104","Census Tract 101.04; Suffolk County; Massachusetts","001","Total population","4896","545",
"1400000US25025010204","Census Tract 102.04; Suffolk County; Massachusetts","001","Total population","3474","413",
"1400000US25025010205","Census Tract 102.05; Suffolk County; Massachusetts","001","Total population","3952","575",
"1400000US25025010206","Census Tract 102.06; Suffolk County; Massachusetts","001","Total population","2039","687",
"1400000US25025010300","Census Tract 103; Suffolk County; Massachusetts","001","Total population","5374","815",
"1400000US25025010403","Census Tract 104.03; Suffolk County; Massachusetts","001","Total population","2550","497",
"1400000US25025010404","Census Tract 104.04; Suffolk County; Massachusetts","001","Total population","4934","492",
"1400000US25025010405","Census Tract 104.05; Suffolk County; Massachusetts","001","Total population","6266","696",
"1400000US25025010408","Census Tract 104.08; Suffolk County; Massachusetts","001","Total population","1350","185",
"1400000US25025010500","Census Tract 105; Suffolk County; Massachusetts","001","Total population","3461","477",
"1400000US25025010600","Census Tract 106; Suffolk County; Massachusetts","001","Total population","3149","412",
"1400000US25025010701","Census Tract 107.01; Suffolk County; Massachusetts","001","Total population","2367","327",
"1400000US25025010702","Census Tract 107.02; Suffolk County; Massachusetts","001","Total population","2480","314",
"1400000US25025010801","Census Tract 108.01; Suffolk County; Massachusetts","001","Total population","2731","352",
"1400000US25025010802","Census Tract 108.02; Suffolk County; Massachusetts","001","Total population","3295","408",
"1400000US25025020101","Census Tract 201.01; Suffolk County; Massachusetts","001","Total population","4157","534",
"1400000US25025020200","Census Tract 202; Suffolk County; Massachusetts","001","Total population","3203","393",
"1400000US25025020301","Census Tract 203.01; Suffolk County; Massachusetts","001","Total population","2296","473",
"1400000US25025020302","Census Tract 203.02; Suffolk County; Massachusetts","001","Total population","946","113",
"1400000US25025020304","Census Tract 203.04; Suffolk County; Massachusetts","001","Total population","1254","260",
"1400000US25025020305","Census Tract 203.05; Suffolk County; Massachusetts","001","Total population","3823","569",
"1400000US25025030100","Census Tract 301; Suffolk County; Massachusetts","001","Total population","2110","463",
"1400000US25025030200","Census Tract 302; Suffolk County; Massachusetts","001","Total population","1681","355",
"1400000US25025030301","Census Tract 303.01; Suffolk County; Massachusetts","001","Total population","1546","405",
"1400000US25025030302","Census Tract 303.02; Suffolk County; Massachusetts","001","Total population","2399","457",
"1400000US25025030400","Census Tract 304; Suffolk County; Massachusetts","001","Total population","3851","510",
"1400000US25025030500","Census Tract 305; Suffolk County; Massachusetts","001","Total population","2258","310",
"1400000US25025040100","Census Tract 401; Suffolk County; Massachusetts","001","Total population","2499","364",
"1400000US25025040200","Census Tract 402; Suffolk County; Massachusetts","001","Total population","1865","273",
"1400000US25025040300","Census Tract 403; Suffolk County; Massachusetts","001","Total population","4855","553",
"1400000US25025040401","Census Tract 404.01; Suffolk County; Massachusetts","001","Total population","2966","402",
"1400000US25025040600","Census Tract 406; Suffolk County; Massachusetts","001","Total population","3749","380",
"1400000US25025040801","Census Tract 408.01; Suffolk County; Massachusetts","001","Total population","4477","610",
"1400000US25025050101","Census Tract 501.01; Suffolk County; Massachusetts","001","Total population","5612","893",
"1400000US25025050200","Census Tract 502; Suffolk County; Massachusetts","001","Total population","5487","950",
"1400000US25025050300","Census Tract 503; Suffolk County; Massachusetts","001","Total population","3279","479",
"1400000US25025050400","Census Tract 504; Suffolk County; Massachusetts","001","Total population","2304","423",
"1400000US25025050500","Census Tract 505; Suffolk County; Massachusetts","001","Total population","2294","323",
"1400000US25025050600","Census Tract 506; Suffolk County; Massachusetts","001","Total population","2507","548",
"1400000US25025050700","Census Tract 507; Suffolk County; Massachusetts","001","Total population","4964","822",
"1400000US25025050901","Census Tract 509.01; Suffolk County; Massachusetts","001","Total population","4471","823",
"1400000US25025051000","Census Tract 510; Suffolk County; Massachusetts","001","Total population","4999","755",
"1400000US25025051101","Census Tract 511.01; Suffolk County; Massachusetts","001","Total population","6502","1010",
"1400000US25025051200","Census Tract 512; Suffolk County; Massachusetts","001","Total population","3078","401",
"1400000US25025060101","Census Tract 601.01; Suffolk County; Massachusetts","001","Total population","3577","506",
"1400000US25025060200","Census Tract 602; Suffolk County; Massachusetts","001","Total population","1944","314",
"1400000US25025060301","Census Tract 603.01; Suffolk County; Massachusetts","001","Total population","3851","677",
"1400000US25025060400","Census Tract 604; Suffolk County; Massachusetts","001","Total population","4906","807",
